feature,gain
prc_total,73.16814422607422
macro_confluence_score,63.32481384277344
efficiency_ratio_10,17.993806838989258
prc_momentum,8.563117027282715
bb_width_percentile,7.00090217590332
fib_range_pct,6.478392601013184
prc_trend,6.304701328277588
pct_dist_to_resistance,6.120527744293213
pct_dist_to_support,6.081207752227783
adx_14,6.060624122619629
dist_s1,6.058307647705078
funding_rate_zscore,5.97299861907959
btc_corr_24h,5.9646077156066895
aroon_osc,5.90036153793335
funding_slope_8,5.835497856140137
hurst,5.8158040046691895
obv,5.813150882720947
dist_kama,5.764461994171143
kst_signal,5.736441135406494
btc_dist_ema200,5.729303359985352
fib_dist_618,5.715662002563477
price_zscore_200,5.702558994293213
macd_signal,5.686118125915527
ichi_dist_kijun,5.670175075531006
dist_avwap_200,5.66633939743042
volatility_skew,5.539971828460693
entropy,5.52836799621582
donchian_position,5.512272834777832
vol_confirm_ratio,5.503467082977295
rolling_volatility,5.494640827178955
dist_r2,5.464207649230957
prc_volume,5.451060771942139
supertrend_dist,5.446460723876953
fisher,5.445204257965088
dist_bear_ob,5.438141345977783
parkinson_vol,5.435159683227539
atr_expansion,5.426704406738281
funding_cum_8,5.4218010902404785
schaff_tc,5.415200233459473
rsi_slope_14,5.401520252227783
rsi_7,5.391511917114258
volatility_regime,5.385378360748291
dist_s2,5.38527250289917
linreg_r2_14,5.380660057067871
dist_bull_ob,5.378167629241943
starc_position,5.369259834289551
ema_stack_distance,5.359628200531006
dist_r1,5.356922149658203
choppiness,5.35402250289917
atr_band_position,5.349751949310303
