feature,gain
prc_total,37.0493278503418
macro_confluence_score,35.40018081665039
starc_position,21.351533889770508
atr_band_position,15.369601249694824
bb_pct_b,12.830358505249023
rvi_osc,9.814773559570312
prc_trend,9.714353561401367
prc_momentum,9.165151596069336
linreg_slope_14,6.807784557342529
volatility_regime,6.712464809417725
dist_r2,6.204862594604492
bands_confluence,6.138064384460449
volatility_ratio,6.104697227478027
dist_ema_9,6.086889266967773
price_zscore_200,5.871546745300293
lower_low_count_20,5.8106560707092285
ichi_dist_tenkan,5.621139049530029
prc_bands,5.5971360206604
volume_confluence,5.581424236297607
kvo,5.495500087738037
ichi_above_cloud,5.369594097137451
funding_cum_8,5.367779731750488
ema_slope_9,5.29463529586792
cci_20,5.285191059112549
gaussian_position,5.232334136962891
total_confluence,5.155379772186279
prc_volume,5.131625175476074
donchian_position,5.104204177856445
pct_dist_to_support,5.053147315979004
bb_width_percentile,5.044250965118408
rsi_14,5.013895511627197
macd_hist,4.9937357902526855
supertrend_dir,4.972817897796631
dist_bull_ob,4.967963695526123
sqz_momentum,4.960921764373779
vwap_slope_24,4.958333969116211
dist_pivot,4.954364776611328
kvo_signal,4.921913146972656
ret_12h,4.893167018890381
macd_divergence,4.8806257247924805
dist_r1,4.861081600189209
cmo_14,4.837018013000488
rsi_slope_14,4.8326735496521
ichi_dist_kijun,4.82728910446167
regime_high_vol,4.807113170623779
rsi_7,4.7986979484558105
sar_dist,4.7925543785095215
volume,4.787797451019287
volatility_skew,4.750326633453369
aroon_down,4.728555202484131
