feature,gain
efficiency_ratio_10,28.655563354492188
macro_confluence_score,23.478044509887695
prc_total,22.67940902709961
starc_position,19.979228973388672
atr_band_position,18.229583740234375
bb_pct_b,15.151019096374512
is_at_support,11.190229415893555
regime_low_vol,8.016495704650879
ema_9_21_cross,6.420124530792236
prc_momentum,5.724372863769531
volatility_regime,4.749871253967285
rvi_osc,4.103199481964111
price_zscore_200,3.9616382122039795
mfi_14,3.9511711597442627
trend_confluence,3.8556387424468994
rolling_buy_ratio,3.6039915084838867
atr_percentile,3.5338644981384277
parkinson_vol,3.518991470336914
dist_rolling_vwap,3.453782081604004
tsi,3.352433443069458
prc_trend,3.244077205657959
higher_high_count_20,3.1918864250183105
dist_ema_50,3.170466184616089
pvt,3.1214234828948975
fib_dist_382,3.1151366233825684
sar_trend,3.087364435195923
returns_1h_decay_mean_24,3.076394557952881
fib_dist_236,3.0592598915100098
dist_s1,3.053678512573242
dow_sin,3.0395069122314453
ichi_above_cloud,3.0063414573669434
kvo_signal,2.9660632610321045
dist_r1,2.9503395557403564
prc_smart_money,2.947869062423706
btc_dist_ema200,2.935556650161743
dist_ema_200,2.930196523666382
aroon_osc,2.90209698677063
rsi_21,2.900160789489746
dist_ema_9,2.8620941638946533
sqz_momentum,2.8574106693267822
dist_avwap_200,2.847712755203247
obv,2.8413238525390625
total_confluence,2.8381729125976562
ema_stack_distance,2.8339033126831055
aroon_down,2.8242928981781006
quantile_position,2.819789409637451
range_position_score,2.8076181411743164
donchian_position,2.8036885261535645
rsi_14,2.8036441802978516
swing_strength_20,2.803311586380005
