feature,gain
efficiency_ratio_10,37.73390197753906
prc_total,28.11339569091797
macro_confluence_score,24.51428985595703
starc_position,22.079238891601562
atr_band_position,15.044215202331543
regime_high_vol,11.769047737121582
prc_trend,7.3443474769592285
regime_low_vol,6.024386405944824
ichi_above_cloud,5.153705596923828
volatility_regime,4.791448593139648
rvi_osc,4.69278621673584
swing_strength_20,4.585139751434326
ret_12h,4.292689800262451
dist_ema_100,3.8907887935638428
ichi_dist_cloud_top,3.8621604442596436
atr_percentile,3.822805404663086
dist_bear_ob,3.7447474002838135
ppo,3.679124355316162
dist_ema_50,3.6268017292022705
kvo_signal,3.6154441833496094
bb_width_percentile,3.5017282962799072
supertrend_dist,3.4599149227142334
kvo,3.3321969509124756
returns_1h_decay_mean_24,3.326253652572632
prc_momentum,3.3208346366882324
fib_dist_618,3.286085605621338
choppiness,3.2765390872955322
is_at_support,3.207242727279663
dist_vwap,3.1962547302246094
rel_perf_24h,3.196162462234497
rsi_7,3.19408917427063
fib_dist_500,3.1878812313079834
schaff_tc,3.1868441104888916
ema_slope_50,3.178382158279419
williams_r,3.1772305965423584
rsi_slope_14,3.1475884914398193
dist_avwap_50,3.132364511489868
total_confluence,3.1248064041137695
dist_avwap_100,3.116776704788208
bands_confluence,3.1006572246551514
tsi,3.0915367603302
rolling_volatility,3.0906481742858887
close_decay_mean_24,3.0897045135498047
btc_ratio_ma_dist,3.084914207458496
cmo_14,3.0827689170837402
rsi_21,3.075653553009033
adx_14,3.0126378536224365
dist_r2,2.9930503368377686
dist_bull_ob,2.984187602996826
btc_dist_ema200,2.97823429107666
