feature,gain
prc_total,113.76299285888672
macro_confluence_score,72.76327514648438
efficiency_ratio_10,22.65005111694336
prc_momentum,14.798429489135742
prc_trend,10.701008796691895
ichi_above_cloud,8.064656257629395
fib_dist_236,7.61529016494751
supertrend_dist,7.506934642791748
parkinson_vol,7.4731950759887695
pct_dist_to_resistance,7.268202304840088
dist_ema_100,7.229974269866943
dist_avwap_200,7.173972129821777
aroon_osc,7.078536033630371
fib_range_pct,6.91380500793457
vol_confirm_ratio,6.9055986404418945
dist_bull_ob,6.724249362945557
funding_rate_zscore,6.682413101196289
ret_24h,6.613393306732178
btc_dist_ema200,6.6129841804504395
dist_r1,6.547348976135254
ichi_dist_cloud_top,6.527477741241455
keltner_width,6.460487365722656
pvt,6.3505635261535645
dow_cos,6.300021171569824
dist_avwap_100,6.208746910095215
dist_s2,6.199254989624023
volatility_regime,6.180068016052246
atr_band_position,6.075244426727295
dist_ema_200,6.014115333557129
obv,6.010049343109131
dist_bear_ob,5.889115810394287
hurst,5.865204334259033
dow_sin,5.820375442504883
aroon_up,5.791624069213867
kst_signal,5.78518533706665
rsi_slope_14,5.759228706359863
btc_corr_24h,5.673023700714111
bb_width_percentile,5.604113578796387
dist_kama,5.599400997161865
entropy,5.472060680389404
dist_r2,5.442059516906738
volatility_skew,5.335846900939941
macd_hist_velocity,5.312427043914795
price_zscore_200,5.290838241577148
atr_pct,5.2388410568237305
sar_dist,5.165439128875732
volatility_ratio,5.092916488647461
rsi_21,5.089606285095215
macd,5.086123943328857
fib_dist_500,5.01775598526001
