symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
ARB/USDT,aggressive,29,2025-12-21 13:00:00,long,0.7432,0.1,0.12,0.9837,normal,normal,normal,False,normal,full,1.0,0.183,0.0,0.0,0.0,taken
ARB/USDT,aggressive,31,2025-12-21 15:00:00,long,0.7787,0.1,0.12,1.2287,normal,normal,normal,False,normal,full,1.0,0.1847,0.0,0.0,0.0,taken
ARB/USDT,aggressive,33,2025-12-21 17:00:00,long,0.7533,0.1,0.12,1.137,normal,normal,normal,False,normal,full,1.0,0.1846,0.0,0.0,0.0,taken
ARB/USDT,aggressive,36,2025-12-21 20:00:00,long,0.7239,0.1,0.12,1.1052,normal,normal,normal,False,normal,full,1.0,0.1844,0.0,0.0,0.0,taken
ARB/USDT,aggressive,101,2025-12-24 13:00:00,long,0.677,0.1,0.0935,0.8697,normal,normal,strong,True,low,full,1.0,0.1838,0.0,0.0,0.0,taken
ARB/USDT,aggressive,272,2025-12-31 16:00:00,long,0.7642,0.1,0.0765,0.9313,normal,normal,strong,True,high,full,1.0,0.1858,0.0,0.0,0.0,taken
ARB/USDT,aggressive,274,2025-12-31 18:00:00,long,0.8003,0.1,0.0638,1.1878,very_high,normal,strong,True,normal,full,1.0,0.1846,0.0,0.0,0.0,taken
ARB/USDT,aggressive,277,2025-12-31 21:00:00,long,0.7659,0.2,0.204,1.2643,normal,high,normal,False,normal,full,1.0,0.1878,0.0,0.0,0.0,taken
ARB/USDT,aggressive,279,2025-12-31 23:00:00,long,0.7404,0.2,0.2244,1.0867,normal,high,normal,False,low,full,1.0,0.1868,0.0,0.0,0.0,taken
ARB/USDT,aggressive,294,2026-01-01 14:00:00,long,0.7614,0.5,0.1836,0.5976,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ARB/USDT,aggressive,295,2026-01-01 15:00:00,long,0.7934,0.5,0.1836,0.8227,normal,low,strong,True,high,full,1.0,0.1949,0.0,0.0,0.0,taken
ARB/USDT,aggressive,297,2026-01-01 17:00:00,long,0.9021,0.1,0.0574,1.2744,very_high,normal,strong,True,high,full,1.0,0.1969,0.0,0.0,0.0,taken
ARB/USDT,aggressive,299,2026-01-01 19:00:00,long,0.8301,0.1,0.0574,1.0894,very_high,normal,strong,True,high,full,1.0,0.1994,0.0,0.0,0.0,taken
ARB/USDT,aggressive,301,2026-01-01 21:00:00,long,0.7801,0.1,0.085,0.9844,normal,normal,strong,True,normal,full,1.0,0.1989,0.0,0.0,0.0,taken
ARB/USDT,aggressive,304,2026-01-02 00:00:00,long,0.6733,0.2,0.159,0.7049,normal,high,strong,True,low,full,1.0,0.2011,0.0,0.0,0.0,taken
ARB/USDT,aggressive,306,2026-01-02 02:00:00,long,0.6657,0.2,0.1445,0.7013,normal,high,strong,True,normal,full,1.0,0.2012,0.0,0.0,0.0,taken
ARB/USDT,aggressive,341,2026-01-03 13:00:00,long,0.7237,0.1,0.132,0.8959,normal,normal,normal,False,low,full,1.0,0.2075,0.0,0.0,0.0,taken
ARB/USDT,aggressive,347,2026-01-03 19:00:00,long,0.696,0.1,0.132,0.6901,normal,normal,normal,False,low,full,1.0,0.2087,0.0,0.0,0.0,taken
ARB/USDT,aggressive,349,2026-01-03 21:00:00,long,0.6623,0.5,0.3168,0.3795,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ARB/USDT,aggressive,352,2026-01-04 00:00:00,long,0.7159,0.1,0.108,0.583,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ARB/USDT,aggressive,385,2026-01-05 09:00:00,long,0.7599,0.2,0.1836,1.4387,normal,high,normal,False,high,full,1.0,0.2121,0.0,0.0,0.0,taken
ARB/USDT,aggressive,387,2026-01-05 11:00:00,long,0.6818,0.2,0.159,1.0022,normal,high,strong,True,low,full,1.0,0.2127,0.0,0.0,0.0,taken
ARB/USDT,aggressive,389,2026-01-05 13:00:00,long,0.6719,0.2,0.1836,0.9063,normal,high,normal,False,high,full,1.0,0.2132,0.0,0.0,0.0,taken
ARB/USDT,aggressive,394,2026-01-05 18:00:00,long,0.696,0.2,0.1301,1.2123,normal,high,strong,True,high,full,1.0,0.2219,0.0,0.0,0.0,taken
ARB/USDT,aggressive,396,2026-01-05 20:00:00,long,0.7091,0.2,0.1301,1.3619,normal,high,strong,True,high,full,1.0,0.2208,0.0,0.0,0.0,taken
ARB/USDT,aggressive,408,2026-01-06 08:00:00,long,0.668,0.1,0.12,0.8499,normal,normal,normal,False,normal,full,1.0,0.2194,0.0,0.0,0.0,taken
ARB/USDT,aggressive,474,2026-01-09 02:00:00,long,0.6758,0.5,0.2592,1.034,normal,low,normal,False,high,full,1.0,0.2077,0.0,0.0,0.0,taken
ARB/USDT,aggressive,542,2026-01-11 22:00:00,long,0.7814,0.1,0.0765,1.1186,normal,normal,strong,True,high,full,1.0,0.2025,0.0,0.0,0.0,taken
ARB/USDT,aggressive,544,2026-01-12 00:00:00,long,0.7186,0.1,0.108,1.0721,normal,normal,normal,False,high,full,1.0,0.2047,0.0,0.0,0.0,taken
ARB/USDT,aggressive,556,2026-01-12 12:00:00,long,0.7285,0.1,0.0935,1.3224,normal,normal,strong,True,low,full,1.0,0.2017,0.0,0.0,0.0,taken
ARB/USDT,aggressive,558,2026-01-12 14:00:00,long,0.66,0.1,0.0765,0.9185,normal,normal,strong,True,high,full,1.0,0.2024,0.0,0.0,0.0,taken
ARB/USDT,aggressive,570,2026-01-13 02:00:00,long,0.7809,0.1,0.132,1.4562,normal,normal,normal,False,low,full,1.0,0.202,0.0,0.0,0.0,taken
