symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
ARB/USDT,conservative,30,2025-12-21 15:00:00,long,0.7636,0.1,0.12,0.7475,normal,normal,normal,False,normal,full,1.0,0.1847,0.0,0.0,0.0,taken
ARB/USDT,conservative,32,2025-12-21 17:00:00,long,0.7501,0.1,0.12,0.7218,normal,normal,normal,False,normal,full,1.0,0.1846,0.0,0.0,0.0,taken
ARB/USDT,conservative,271,2025-12-31 16:00:00,long,0.7642,0.1,0.0765,0.5788,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ARB/USDT,conservative,272,2025-12-31 17:00:00,long,0.8024,0.1,0.0638,0.7059,very_high,normal,strong,True,normal,full,1.0,0.1848,0.0,0.0,0.0,taken
ARB/USDT,conservative,274,2025-12-31 19:00:00,long,0.8635,0.1,0.09,0.9875,very_high,normal,normal,False,normal,full,1.0,0.1854,0.0,0.0,0.0,taken
ARB/USDT,conservative,276,2025-12-31 21:00:00,long,0.7659,0.45,0.459,0.8233,normal,high,normal,False,normal,full,1.0,0.1878,0.0,0.0,0.0,taken
ARB/USDT,conservative,293,2026-01-01 14:00:00,long,0.7614,0.5,0.4131,0.3338,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ARB/USDT,conservative,294,2026-01-01 15:00:00,long,0.7934,0.5,0.4131,0.4954,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ARB/USDT,conservative,295,2026-01-01 16:00:00,long,0.8944,0.5,0.3098,0.7373,very_high,low,strong,True,high,full,1.0,0.1956,0.0,0.0,0.0,taken
ARB/USDT,conservative,297,2026-01-01 18:00:00,long,0.8814,0.1,0.0574,0.7696,very_high,normal,strong,True,high,full,1.0,0.1967,0.0,0.0,0.0,taken
ARB/USDT,conservative,299,2026-01-01 20:00:00,long,0.8002,0.1,0.0574,0.6493,very_high,normal,strong,True,high,full,1.0,0.1994,0.0,0.0,0.0,taken
ARB/USDT,conservative,384,2026-01-05 09:00:00,long,0.7599,0.45,0.4131,0.9527,normal,high,normal,False,high,full,1.0,0.2121,0.0,0.0,0.0,taken
ARB/USDT,conservative,394,2026-01-05 19:00:00,long,0.755,0.45,0.2926,1.0695,normal,high,strong,True,high,full,1.0,0.22,0.0,0.0,0.0,taken
ARB/USDT,conservative,541,2026-01-11 22:00:00,long,0.7814,0.1,0.0765,0.7138,normal,normal,strong,True,high,full,1.0,0.2025,0.0,0.0,0.0,taken
ARB/USDT,conservative,556,2026-01-12 13:00:00,long,0.7578,0.1,0.0765,0.9431,normal,normal,strong,True,high,full,1.0,0.2004,0.0,0.0,0.0,taken
ARB/USDT,conservative,569,2026-01-13 02:00:00,long,0.7809,0.1,0.132,0.9615,normal,normal,normal,False,low,full,1.0,0.202,0.0,0.0,0.0,taken
ARB/USDT,conservative,573,2026-01-13 06:00:00,long,0.8042,0.1,0.0638,0.7758,very_high,normal,strong,True,normal,full,1.0,0.2055,0.0,0.0,0.0,taken
