symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
AVAX/USDT,aggressive,149,2025-12-26 14:00:00,long,0.6528,0.2,0.216,0.4664,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,230,2025-12-29 23:00:00,long,0.6981,0.2,0.2244,0.7442,normal,high,normal,False,low,full,1.0,12.38,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,232,2025-12-30 01:00:00,long,0.6594,0.2,0.159,0.5855,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,233,2025-12-30 02:00:00,long,0.6675,0.2,0.187,0.4774,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,569,2026-01-13 02:00:00,long,0.657,0.2,0.187,0.8069,normal,normal,strong,True,low,full,1.0,13.53,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,573,2026-01-13 06:00:00,long,0.6866,0.2,0.264,0.6476,normal,normal,normal,False,low,full,1.0,13.75,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,576,2026-01-13 09:00:00,long,0.6798,0.2,0.17,0.4715,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,580,2026-01-13 13:00:00,long,0.7078,0.2,0.153,0.515,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,581,2026-01-13 14:00:00,long,0.6789,0.2,0.153,0.5329,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,582,2026-01-13 15:00:00,long,0.7003,0.2,0.153,0.7872,normal,normal,strong,True,high,full,1.0,14.36,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,584,2026-01-13 17:00:00,long,0.6618,0.2,0.153,0.6906,normal,normal,strong,True,high,full,1.0,14.52,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,588,2026-01-13 21:00:00,long,0.6541,0.2,0.187,0.5964,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,656,2026-01-16 17:00:00,long,0.7368,0.2,0.1836,0.7878,normal,low,strong,True,high,full,1.0,13.41,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,658,2026-01-16 19:00:00,long,0.6898,0.2,0.2244,0.6069,normal,low,strong,True,low,full,1.0,13.4,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,666,2026-01-17 03:00:00,long,0.6793,0.2,0.264,0.7272,normal,normal,normal,False,low,full,1.0,13.57,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,668,2026-01-17 05:00:00,long,0.6916,0.2,0.2244,0.4945,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,771,2026-01-21 12:00:00,long,0.6874,0.2,0.216,0.6105,normal,normal,normal,False,high,full,1.0,12.09,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,798,2026-01-22 15:00:00,long,0.6553,0.2,0.153,0.4722,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,799,2026-01-22 16:00:00,long,0.6661,0.2,0.17,0.5268,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,800,2026-01-22 17:00:00,long,0.7018,0.2,0.24,0.6482,normal,normal,normal,False,normal,full,1.0,12.2,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,802,2026-01-22 19:00:00,long,0.6774,0.2,0.187,0.6262,normal,normal,strong,True,low,full,1.0,12.16,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1177,2026-02-07 10:00:00,long,0.6757,0.2,0.3168,1.299,normal,low,normal,False,low,full,1.0,8.97,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1250,2026-02-10 11:00:00,long,0.6519,0.2,0.204,0.6611,normal,low,strong,True,normal,full,1.0,8.78,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1253,2026-02-10 14:00:00,long,0.754,0.2,0.2592,1.2583,normal,low,normal,False,high,full,1.0,8.76,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1257,2026-02-10 18:00:00,long,0.7408,0.2,0.288,1.2359,normal,low,normal,False,normal,full,1.0,8.71,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1259,2026-02-10 20:00:00,long,0.7567,0.2,0.2592,1.1399,normal,low,normal,False,high,full,1.0,8.7,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1271,2026-02-11 08:00:00,long,0.8024,0.2,0.2376,1.4474,very_high,low,normal,False,low,full,1.0,8.55,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1273,2026-02-11 10:00:00,long,0.8176,0.2,0.1944,1.4819,very_high,low,normal,False,high,full,1.0,8.53,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1275,2026-02-11 12:00:00,long,0.7158,0.2,0.2244,0.9601,normal,low,strong,True,low,full,1.0,8.59,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1277,2026-02-11 14:00:00,long,0.6929,0.2,0.216,1.2357,normal,normal,normal,False,high,full,1.0,8.55,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1287,2026-02-12 00:00:00,long,0.6709,0.2,0.2244,1.34,normal,high,normal,False,low,full,1.0,8.73,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1289,2026-02-12 02:00:00,long,0.6952,0.2,0.2244,1.5292,normal,high,normal,False,low,full,1.0,8.72,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1307,2026-02-12 20:00:00,long,0.7938,0.2,0.216,1.6798,normal,normal,normal,False,high,full,1.0,8.7,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1325,2026-02-13 14:00:00,long,0.6645,0.2,0.1836,0.5251,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,1326,2026-02-13 15:00:00,long,0.686,0.2,0.1836,0.746,normal,low,strong,True,high,full,1.0,9.1,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1328,2026-02-13 17:00:00,long,0.6722,0.2,0.187,0.7468,normal,normal,strong,True,low,full,1.0,9.17,0.0,0.0,0.0,taken
AVAX/USDT,aggressive,1468,2026-02-19 13:00:00,long,0.6944,0.2,0.1836,0.4958,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
AVAX/USDT,aggressive,1469,2026-02-19 14:00:00,long,0.6582,0.2,0.2592,0.4465,normal,low,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
