symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
BCH/USDT,balanced,29,2025-12-21 13:00:00,long,0.7816,0.3,0.255,0.747,normal,normal,strong,True,normal,full,1.0,577.9,0.0,0.0,0.0,taken
BCH/USDT,balanced,31,2025-12-21 15:00:00,long,0.7845,0.3,0.255,0.7235,normal,normal,strong,True,normal,full,1.0,579.8,0.0,0.0,0.0,taken
BCH/USDT,balanced,108,2025-12-24 20:00:00,long,0.7084,0.3,0.3888,0.3835,normal,low,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,121,2025-12-25 09:00:00,long,0.7202,0.3,0.2167,0.5065,normal,high,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,122,2025-12-25 10:00:00,long,0.7456,0.3,0.2167,0.6384,normal,high,strong,True,normal,full,1.0,583.9,0.0,0.0,0.0,taken
BCH/USDT,balanced,124,2025-12-25 12:00:00,long,0.7438,0.3,0.2167,0.6264,normal,high,strong,True,normal,full,1.0,590.4,0.0,0.0,0.0,taken
BCH/USDT,balanced,126,2025-12-25 14:00:00,long,0.7175,0.3,0.2167,0.5655,normal,high,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,169,2025-12-27 09:00:00,long,0.7023,0.3,0.2295,0.3661,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,170,2025-12-27 10:00:00,long,0.7083,0.3,0.255,0.3971,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,172,2025-12-27 12:00:00,long,0.7085,0.3,0.2805,0.3497,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,226,2025-12-29 18:00:00,long,0.7121,0.3,0.2805,0.5412,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,227,2025-12-29 19:00:00,long,0.7086,0.3,0.396,0.5416,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,634,2026-01-15 18:00:00,long,0.7367,0.3,0.1951,1.3137,normal,high,strong,True,high,full,1.0,579.0,0.0,0.0,0.0,taken
BCH/USDT,balanced,636,2026-01-15 20:00:00,long,0.7697,0.3,0.2384,1.4545,normal,high,strong,True,low,full,1.0,581.2,0.0,0.0,0.0,taken
BCH/USDT,balanced,638,2026-01-15 22:00:00,long,0.7621,0.3,0.2384,1.3731,normal,high,strong,True,low,full,1.0,586.0,0.0,0.0,0.0,taken
BCH/USDT,balanced,745,2026-01-20 09:00:00,long,0.7364,0.3,0.2384,0.4177,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,748,2026-01-20 12:00:00,long,0.7263,0.3,0.3366,0.4129,normal,high,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,749,2026-01-20 13:00:00,long,0.8082,0.3,0.1463,0.6225,very_high,high,strong,True,high,full,1.0,569.9,0.0,0.0,0.0,taken
BCH/USDT,balanced,752,2026-01-20 16:00:00,long,0.7866,0.3,0.2754,0.5802,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,753,2026-01-20 17:00:00,long,0.7716,0.3,0.2754,0.5439,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,754,2026-01-20 18:00:00,long,0.7577,0.3,0.2754,0.4867,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,760,2026-01-21 00:00:00,long,0.7552,0.3,0.1951,0.736,normal,high,strong,True,high,full,1.0,581.6,0.0,0.0,0.0,taken
BCH/USDT,balanced,876,2026-01-25 20:00:00,long,0.7503,0.3,0.2295,0.4472,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,877,2026-01-25 21:00:00,long,0.7726,0.3,0.2295,0.5242,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,878,2026-01-25 22:00:00,long,0.7758,0.3,0.2295,0.5244,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,879,2026-01-25 23:00:00,long,0.7685,0.3,0.2754,0.5536,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,911,2026-01-27 07:00:00,long,0.7013,0.3,0.306,0.3704,normal,high,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BCH/USDT,balanced,912,2026-01-27 08:00:00,long,0.7207,0.3,0.2754,0.3876,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
