symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
BNB/USDT,aggressive,97,2025-12-24 09:00:00,long,0.6551,0.1,0.108,0.0936,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,99,2025-12-24 11:00:00,long,0.651,0.1,0.132,0.0431,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,152,2025-12-26 16:00:00,long,0.6517,0.1,0.085,0.1431,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,155,2025-12-26 19:00:00,long,0.7181,0.1,0.108,0.306,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,160,2025-12-27 00:00:00,long,0.6606,0.1,0.132,0.1285,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,161,2025-12-27 01:00:00,long,0.6757,0.1,0.0935,0.1623,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,162,2025-12-27 02:00:00,long,0.6828,0.1,0.132,0.1744,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,163,2025-12-27 03:00:00,long,0.6915,0.1,0.132,0.1862,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,165,2025-12-27 05:00:00,long,0.6508,0.2,0.3168,-0.0542,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,168,2025-12-27 08:00:00,long,0.6635,0.2,0.2592,-0.0552,normal,low,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,169,2025-12-27 09:00:00,long,0.6711,0.2,0.2592,-0.0441,normal,low,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,170,2025-12-27 10:00:00,long,0.6861,0.2,0.2592,-0.0278,normal,low,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,171,2025-12-27 11:00:00,long,0.673,0.2,0.3168,-0.0556,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,172,2025-12-27 12:00:00,long,0.6753,0.2,0.288,-0.0508,normal,low,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,173,2025-12-27 13:00:00,long,0.6724,0.2,0.3168,-0.051,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,197,2025-12-28 13:00:00,long,0.6527,0.1,0.0765,-0.0428,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,198,2025-12-28 14:00:00,long,0.6502,0.1,0.085,-0.0474,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,222,2025-12-29 14:00:00,long,0.6527,0.2,0.1301,0.2368,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,223,2025-12-29 15:00:00,long,0.6696,0.2,0.1836,0.2701,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,224,2025-12-29 16:00:00,long,0.6593,0.2,0.204,0.2223,normal,high,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,293,2026-01-01 13:00:00,long,0.6879,0.1,0.0935,0.0743,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,294,2026-01-01 14:00:00,long,0.722,0.1,0.132,0.1314,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,aggressive,335,2026-01-03 07:00:00,long,0.7097,0.2,0.1301,0.2196,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
