symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
BNB/USDT,balanced,154,2025-12-26 19:00:00,long,0.7181,0.1,0.108,0.1555,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,293,2026-01-01 14:00:00,long,0.7184,0.1,0.132,0.0131,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,334,2026-01-03 07:00:00,long,0.7059,0.3,0.1951,0.0805,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,335,2026-01-03 08:00:00,long,0.7434,0.3,0.2384,0.0985,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,336,2026-01-03 09:00:00,long,0.7464,0.1,0.085,0.0921,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,337,2026-01-03 10:00:00,long,0.7437,0.1,0.0935,0.0636,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,338,2026-01-03 11:00:00,long,0.7535,0.1,0.132,0.0571,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,441,2026-01-07 18:00:00,long,0.7042,0.1,0.0935,0.1845,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,442,2026-01-07 19:00:00,long,0.7034,0.3,0.2384,0.1897,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,443,2026-01-07 20:00:00,long,0.7105,0.1,0.0935,0.2014,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,445,2026-01-07 22:00:00,long,0.7187,0.1,0.0935,0.1958,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,875,2026-01-25 20:00:00,long,0.7098,0.1,0.0765,0.151,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,876,2026-01-25 21:00:00,long,0.7459,0.1,0.0765,0.2407,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,877,2026-01-25 22:00:00,long,0.7321,0.1,0.0765,0.2103,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BNB/USDT,balanced,878,2026-01-25 23:00:00,long,0.7361,0.3,0.2754,0.2447,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
