symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
DOT/USDT,aggressive,235,2025-12-30 03:00:00,long,0.6549,0.2,0.17,0.7227,normal,normal,strong,True,normal,full,1.0,1.81,0.0,0.0,0.0,taken
DOT/USDT,aggressive,658,2026-01-16 18:00:00,long,0.6752,0.2,0.2244,0.776,normal,low,strong,True,low,full,1.0,2.084,0.0,0.0,0.0,taken
DOT/USDT,aggressive,697,2026-01-18 09:00:00,long,0.6967,0.2,0.288,0.4878,normal,low,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,698,2026-01-18 10:00:00,long,0.707,0.2,0.2244,0.5206,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,699,2026-01-18 11:00:00,long,0.679,0.2,0.3168,0.4338,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,702,2026-01-18 14:00:00,long,0.6643,0.2,0.288,0.377,normal,low,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,1274,2026-02-11 10:00:00,long,0.695,0.2,0.1836,0.667,normal,low,strong,True,high,full,1.0,1.233,0.0,0.0,0.0,taken
DOT/USDT,aggressive,1588,2026-02-24 12:00:00,long,0.6911,0.2,0.216,0.865,normal,normal,normal,False,high,full,1.0,1.237,0.0,0.0,0.0,taken
DOT/USDT,aggressive,2467,2026-04-02 03:00:00,long,0.6619,0.2,0.1445,0.8443,normal,high,strong,True,normal,full,1.0,1.219,0.0,0.0,0.0,taken
DOT/USDT,aggressive,2475,2026-04-02 11:00:00,long,0.6543,0.2,0.187,0.6896,normal,normal,strong,True,low,full,1.0,1.216,0.0,0.0,0.0,taken
DOT/USDT,aggressive,2562,2026-04-06 02:00:00,long,0.6648,0.2,0.1445,0.6837,normal,high,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
DOT/USDT,aggressive,2565,2026-04-06 05:00:00,long,0.6882,0.2,0.187,0.5127,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,2566,2026-04-06 06:00:00,long,0.6644,0.2,0.153,0.4336,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,2598,2026-04-07 14:00:00,long,0.679,0.2,0.153,0.5464,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
DOT/USDT,aggressive,2599,2026-04-07 15:00:00,long,0.6631,0.2,0.264,0.4741,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
