symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
FIL/USDT,aggressive,29,2025-12-21 13:00:00,long,0.856,0.5,0.1275,2.2697,very_high,normal,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
FIL/USDT,aggressive,31,2025-12-21 15:00:00,long,0.7697,0.5,0.17,1.3945,normal,normal,strong,True,normal,full,1.0,1.274,0.0,0.0,0.0,taken
FIL/USDT,aggressive,33,2025-12-21 17:00:00,long,0.8061,0.5,0.1275,1.5963,very_high,normal,strong,True,normal,full,1.0,1.27,0.0,0.0,0.0,taken
FIL/USDT,aggressive,35,2025-12-21 19:00:00,long,0.7763,0.5,0.17,1.4208,normal,normal,strong,True,normal,full,1.0,1.267,0.0,0.0,0.0,taken
FIL/USDT,aggressive,37,2025-12-21 21:00:00,long,0.8745,0.5,0.1275,2.0168,very_high,normal,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
FIL/USDT,aggressive,44,2025-12-22 04:00:00,long,0.7166,0.5,0.24,1.1382,normal,normal,normal,False,normal,full,1.0,1.297,0.0,0.0,0.0,taken
FIL/USDT,aggressive,46,2025-12-22 06:00:00,long,0.7097,0.5,0.24,1.1224,normal,normal,normal,False,normal,full,1.0,1.292,0.0,0.0,0.0,taken
FIL/USDT,aggressive,72,2025-12-23 08:00:00,long,0.6597,0.5,0.187,0.8168,normal,normal,strong,True,low,full,1.0,1.278,0.0,0.0,0.0,taken
FIL/USDT,aggressive,80,2025-12-23 16:00:00,long,0.6891,0.5,0.153,0.8255,normal,normal,strong,True,high,full,1.0,1.322,0.0,0.0,0.0,taken
FIL/USDT,aggressive,82,2025-12-23 18:00:00,long,0.725,0.5,0.153,1.2885,normal,normal,strong,True,high,full,1.0,1.321,0.0,0.0,0.0,taken
FIL/USDT,aggressive,137,2025-12-26 01:00:00,long,0.7125,0.2,0.1445,1.4735,normal,high,strong,True,normal,full,1.0,1.224,0.0,0.0,0.0,taken
FIL/USDT,aggressive,181,2025-12-27 21:00:00,long,0.8914,0.5,0.1148,1.6727,very_high,normal,strong,True,high,full,1.0,1.289,0.0,0.0,0.0,taken
FIL/USDT,aggressive,183,2025-12-27 23:00:00,long,0.9559,0.2,0.0975,2.3715,very_high,high,strong,True,high,full,1.0,1.316,0.0,0.0,0.0,taken
FIL/USDT,aggressive,185,2025-12-28 01:00:00,long,0.9124,0.2,0.1084,2.2974,very_high,high,strong,True,normal,full,1.0,1.31,0.0,0.0,0.0,taken
FIL/USDT,aggressive,187,2025-12-28 03:00:00,long,0.8657,0.2,0.1192,2.1531,very_high,high,strong,True,low,full,1.0,1.323,0.0,0.0,0.0,taken
FIL/USDT,aggressive,189,2025-12-28 05:00:00,long,0.8223,0.2,0.1192,1.9284,very_high,high,strong,True,low,full,1.0,1.326,0.0,0.0,0.0,taken
FIL/USDT,aggressive,202,2025-12-28 18:00:00,long,0.6517,0.2,0.1836,1.2124,normal,high,normal,False,high,full,1.0,1.319,0.0,0.0,0.0,taken
FIL/USDT,aggressive,205,2025-12-28 21:00:00,long,0.7663,0.2,0.204,1.6823,normal,high,normal,False,normal,full,1.0,1.318,0.0,0.0,0.0,taken
FIL/USDT,aggressive,234,2025-12-30 02:00:00,long,0.7714,0.2,0.159,2.3258,normal,high,strong,True,low,full,1.0,1.296,0.0,0.0,0.0,taken
FIL/USDT,aggressive,247,2025-12-30 15:00:00,long,0.666,0.5,0.264,0.8375,normal,normal,normal,False,low,full,1.0,1.326,0.0,0.0,0.0,taken
FIL/USDT,aggressive,272,2025-12-31 16:00:00,long,0.7843,0.5,0.216,1.5978,normal,normal,normal,False,high,full,1.0,1.282,0.0,0.0,0.0,taken
FIL/USDT,aggressive,274,2025-12-31 18:00:00,long,0.9,0.5,0.1275,2.3402,very_high,normal,strong,True,normal,full,1.0,1.268,0.0,0.0,0.0,taken
FIL/USDT,aggressive,292,2026-01-01 12:00:00,long,0.6685,0.2,0.1836,0.5271,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
FIL/USDT,aggressive,293,2026-01-01 13:00:00,long,0.8715,0.2,0.1377,1.7738,very_high,low,strong,True,high,full,1.0,1.395,0.0,0.0,0.0,taken
FIL/USDT,aggressive,295,2026-01-01 15:00:00,long,0.709,0.2,0.1301,1.8403,normal,high,strong,True,high,full,1.0,1.505,0.0,0.0,0.0,taken
FIL/USDT,aggressive,311,2026-01-02 07:00:00,long,0.7316,0.2,0.159,1.9004,normal,high,strong,True,low,full,1.0,1.45,0.0,0.0,0.0,taken
FIL/USDT,aggressive,315,2026-01-02 11:00:00,long,0.7626,0.5,0.216,1.8848,normal,normal,normal,False,high,full,1.0,1.429,0.0,0.0,0.0,taken
FIL/USDT,aggressive,317,2026-01-02 13:00:00,long,0.793,0.5,0.187,1.8707,normal,normal,strong,True,low,full,1.0,1.428,0.0,0.0,0.0,taken
FIL/USDT,aggressive,319,2026-01-02 15:00:00,long,0.7899,0.5,0.24,1.8508,normal,normal,normal,False,normal,full,1.0,1.434,0.0,0.0,0.0,taken
FIL/USDT,aggressive,325,2026-01-02 21:00:00,long,0.8333,0.5,0.1403,1.9801,very_high,normal,strong,True,low,full,1.0,1.477,0.0,0.0,0.0,taken
FIL/USDT,aggressive,327,2026-01-02 23:00:00,long,0.872,0.5,0.1403,2.2484,very_high,normal,strong,True,low,full,1.0,1.504,0.0,0.0,0.0,taken
FIL/USDT,aggressive,329,2026-01-03 01:00:00,long,0.7383,0.2,0.1445,1.5923,normal,high,strong,True,normal,full,1.0,1.528,0.0,0.0,0.0,taken
FIL/USDT,aggressive,338,2026-01-03 10:00:00,long,0.6626,0.2,0.2244,1.5744,normal,high,normal,False,low,full,1.0,1.465,0.0,0.0,0.0,taken
FIL/USDT,aggressive,340,2026-01-03 12:00:00,long,0.8217,0.2,0.1192,2.6952,very_high,high,strong,True,low,full,1.0,1.468,0.0,0.0,0.0,taken
FIL/USDT,aggressive,342,2026-01-03 14:00:00,long,0.8259,0.2,0.1192,2.4801,very_high,high,strong,True,low,full,1.0,1.468,0.0,0.0,0.0,taken
FIL/USDT,aggressive,344,2026-01-03 16:00:00,long,0.8581,0.5,0.198,2.2025,very_high,normal,normal,False,low,full,1.0,1.468,0.0,0.0,0.0,taken
