symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
FIL/USDT,balanced,29,2025-12-21 13:00:00,long,0.856,0.5,0.1912,1.7235,very_high,normal,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
FIL/USDT,balanced,31,2025-12-21 15:00:00,long,0.7697,0.5,0.255,1.0192,normal,normal,strong,True,normal,full,1.0,1.274,0.0,0.0,0.0,taken
FIL/USDT,balanced,33,2025-12-21 17:00:00,long,0.8061,0.5,0.1912,1.1831,very_high,normal,strong,True,normal,full,1.0,1.27,0.0,0.0,0.0,taken
FIL/USDT,balanced,35,2025-12-21 19:00:00,long,0.7763,0.5,0.255,1.0408,normal,normal,strong,True,normal,full,1.0,1.267,0.0,0.0,0.0,taken
FIL/USDT,balanced,37,2025-12-21 21:00:00,long,0.8745,0.5,0.1912,1.5241,very_high,normal,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
FIL/USDT,balanced,44,2025-12-22 04:00:00,long,0.7166,0.5,0.36,0.8102,normal,normal,normal,False,normal,full,1.0,1.297,0.0,0.0,0.0,taken
FIL/USDT,balanced,46,2025-12-22 06:00:00,long,0.7097,0.5,0.36,0.7968,normal,normal,normal,False,normal,full,1.0,1.292,0.0,0.0,0.0,taken
FIL/USDT,balanced,82,2025-12-23 18:00:00,long,0.725,0.5,0.2295,0.9297,normal,normal,strong,True,high,full,1.0,1.321,0.0,0.0,0.0,taken
FIL/USDT,balanced,137,2025-12-26 01:00:00,long,0.7125,0.3,0.2167,1.0732,normal,high,strong,True,normal,full,1.0,1.224,0.0,0.0,0.0,taken
FIL/USDT,balanced,181,2025-12-27 21:00:00,long,0.8914,0.5,0.1721,1.2515,very_high,normal,strong,True,high,full,1.0,1.289,0.0,0.0,0.0,taken
FIL/USDT,balanced,183,2025-12-27 23:00:00,long,0.9559,0.3,0.1463,1.814,very_high,high,strong,True,high,full,1.0,1.316,0.0,0.0,0.0,taken
FIL/USDT,balanced,185,2025-12-28 01:00:00,long,0.9124,0.3,0.1626,1.7513,very_high,high,strong,True,normal,full,1.0,1.31,0.0,0.0,0.0,taken
FIL/USDT,balanced,187,2025-12-28 03:00:00,long,0.8657,0.3,0.1788,1.6318,very_high,high,strong,True,low,full,1.0,1.323,0.0,0.0,0.0,taken
FIL/USDT,balanced,189,2025-12-28 05:00:00,long,0.8223,0.3,0.1788,1.4484,very_high,high,strong,True,low,full,1.0,1.326,0.0,0.0,0.0,taken
FIL/USDT,balanced,205,2025-12-28 21:00:00,long,0.7663,0.3,0.306,1.2463,normal,high,normal,False,normal,full,1.0,1.318,0.0,0.0,0.0,taken
FIL/USDT,balanced,234,2025-12-30 02:00:00,long,0.7714,0.3,0.2384,1.756,normal,high,strong,True,low,full,1.0,1.296,0.0,0.0,0.0,taken
FIL/USDT,balanced,236,2025-12-30 04:00:00,long,0.7322,0.3,0.3366,1.3062,normal,high,normal,False,low,full,1.0,1.308,0.0,0.0,0.0,taken
FIL/USDT,balanced,272,2025-12-31 16:00:00,long,0.7843,0.5,0.324,1.1818,normal,normal,normal,False,high,full,1.0,1.282,0.0,0.0,0.0,taken
FIL/USDT,balanced,274,2025-12-31 18:00:00,long,0.9,0.5,0.1912,1.7842,very_high,normal,strong,True,normal,full,1.0,1.268,0.0,0.0,0.0,taken
FIL/USDT,balanced,293,2026-01-01 13:00:00,long,0.8715,0.3,0.2065,1.3304,very_high,low,strong,True,high,full,1.0,1.395,0.0,0.0,0.0,taken
FIL/USDT,balanced,295,2026-01-01 15:00:00,long,0.709,0.3,0.1951,1.3609,normal,high,strong,True,high,full,1.0,1.505,0.0,0.0,0.0,taken
FIL/USDT,balanced,311,2026-01-02 07:00:00,long,0.7316,0.3,0.2384,1.4128,normal,high,strong,True,low,full,1.0,1.45,0.0,0.0,0.0,taken
FIL/USDT,balanced,315,2026-01-02 11:00:00,long,0.7626,0.5,0.324,1.4058,normal,normal,normal,False,high,full,1.0,1.429,0.0,0.0,0.0,taken
FIL/USDT,balanced,317,2026-01-02 13:00:00,long,0.793,0.5,0.2805,1.399,normal,normal,strong,True,low,full,1.0,1.428,0.0,0.0,0.0,taken
FIL/USDT,balanced,319,2026-01-02 15:00:00,long,0.7899,0.5,0.36,1.3828,normal,normal,normal,False,normal,full,1.0,1.434,0.0,0.0,0.0,taken
FIL/USDT,balanced,325,2026-01-02 21:00:00,long,0.8333,0.5,0.2104,1.4907,very_high,normal,strong,True,low,full,1.0,1.477,0.0,0.0,0.0,taken
FIL/USDT,balanced,327,2026-01-02 23:00:00,long,0.872,0.5,0.2104,1.7083,very_high,normal,strong,True,low,full,1.0,1.504,0.0,0.0,0.0,taken
FIL/USDT,balanced,329,2026-01-03 01:00:00,long,0.7383,0.3,0.2167,1.1711,normal,high,strong,True,normal,full,1.0,1.528,0.0,0.0,0.0,taken
FIL/USDT,balanced,339,2026-01-03 11:00:00,long,0.7057,0.3,0.3366,1.4032,normal,high,normal,False,low,full,1.0,1.464,0.0,0.0,0.0,taken
FIL/USDT,balanced,341,2026-01-03 13:00:00,long,0.7471,0.3,0.2384,1.5799,normal,high,strong,True,low,full,1.0,1.48,0.0,0.0,0.0,taken
FIL/USDT,balanced,343,2026-01-03 15:00:00,long,0.8629,0.5,0.2104,1.9868,very_high,normal,strong,True,low,full,1.0,1.465,0.0,0.0,0.0,taken
FIL/USDT,balanced,348,2026-01-03 20:00:00,long,0.7612,0.5,0.396,0.9376,normal,normal,normal,False,low,full,1.0,1.486,0.0,0.0,0.0,taken
