symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
FIL/USDT,conservative,29,2025-12-21 13:00:00,long,0.856,0.5,0.2869,1.5418,very_high,normal,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
FIL/USDT,conservative,31,2025-12-21 15:00:00,long,0.7697,0.5,0.3825,0.9183,normal,normal,strong,True,normal,full,1.0,1.274,0.0,0.0,0.0,taken
FIL/USDT,conservative,33,2025-12-21 17:00:00,long,0.8061,0.5,0.2869,1.0596,very_high,normal,strong,True,normal,full,1.0,1.27,0.0,0.0,0.0,taken
FIL/USDT,conservative,35,2025-12-21 19:00:00,long,0.7763,0.5,0.3825,0.9364,normal,normal,strong,True,normal,full,1.0,1.267,0.0,0.0,0.0,taken
FIL/USDT,conservative,37,2025-12-21 21:00:00,long,0.8745,0.5,0.2869,1.3549,very_high,normal,strong,True,normal,full,1.0,1.263,0.0,0.0,0.0,taken
FIL/USDT,conservative,181,2025-12-27 21:00:00,long,0.8914,0.5,0.2582,1.103,very_high,normal,strong,True,high,full,1.0,1.289,0.0,0.0,0.0,taken
FIL/USDT,conservative,183,2025-12-27 23:00:00,long,0.9559,0.45,0.2195,1.6006,very_high,high,strong,True,high,full,1.0,1.316,0.0,0.0,0.0,taken
FIL/USDT,conservative,185,2025-12-28 01:00:00,long,0.9124,0.45,0.2438,1.5528,very_high,high,strong,True,normal,full,1.0,1.31,0.0,0.0,0.0,taken
FIL/USDT,conservative,187,2025-12-28 03:00:00,long,0.8657,0.45,0.2682,1.4554,very_high,high,strong,True,low,full,1.0,1.323,0.0,0.0,0.0,taken
FIL/USDT,conservative,189,2025-12-28 05:00:00,long,0.8223,0.45,0.2682,1.2993,very_high,high,strong,True,low,full,1.0,1.326,0.0,0.0,0.0,taken
FIL/USDT,conservative,205,2025-12-28 21:00:00,long,0.7663,0.45,0.459,1.1305,normal,high,normal,False,normal,full,1.0,1.318,0.0,0.0,0.0,taken
FIL/USDT,conservative,234,2025-12-30 02:00:00,long,0.7714,0.45,0.3576,1.602,normal,high,strong,True,low,full,1.0,1.296,0.0,0.0,0.0,taken
FIL/USDT,conservative,237,2025-12-30 05:00:00,long,0.794,0.45,0.4131,1.4896,normal,high,normal,False,high,full,1.0,1.309,0.0,0.0,0.0,taken
FIL/USDT,conservative,272,2025-12-31 16:00:00,long,0.7843,0.5,0.486,1.0647,normal,normal,normal,False,high,full,1.0,1.282,0.0,0.0,0.0,taken
