symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
ICP/USDT,balanced,71,2025-12-23 08:00:00,long,0.7225,0.1,0.0935,1.0757,normal,normal,strong,True,low,full,1.0,2.983,0.0,0.0,0.0,taken
ICP/USDT,balanced,151,2025-12-26 16:00:00,long,0.7321,0.1,0.0765,0.779,normal,normal,strong,True,high,full,1.0,2.941,0.0,0.0,0.0,taken
ICP/USDT,balanced,284,2026-01-01 05:00:00,long,0.7015,0.3,0.2754,1.6386,normal,high,normal,False,high,full,1.0,2.882,0.0,0.0,0.0,taken
ICP/USDT,balanced,384,2026-01-05 09:00:00,long,0.7092,0.1,0.12,1.0075,normal,normal,normal,False,normal,full,1.0,3.205,0.0,0.0,0.0,taken
ICP/USDT,balanced,386,2026-01-05 11:00:00,long,0.746,0.1,0.085,1.167,normal,normal,strong,True,normal,full,1.0,3.211,0.0,0.0,0.0,taken
ICP/USDT,balanced,388,2026-01-05 13:00:00,long,0.7141,0.3,0.2754,1.0854,normal,high,normal,False,high,full,1.0,3.2,0.0,0.0,0.0,taken
ICP/USDT,balanced,393,2026-01-05 18:00:00,long,0.7285,0.3,0.1951,1.5286,normal,high,strong,True,high,full,1.0,3.429,0.0,0.0,0.0,taken
ICP/USDT,balanced,395,2026-01-05 20:00:00,long,0.7759,0.3,0.2167,1.9809,normal,high,strong,True,normal,full,1.0,3.406,0.0,0.0,0.0,taken
ICP/USDT,balanced,397,2026-01-05 22:00:00,long,0.7579,0.3,0.2167,1.9454,normal,high,strong,True,normal,full,1.0,3.423,0.0,0.0,0.0,taken
ICP/USDT,balanced,399,2026-01-06 00:00:00,long,0.724,0.3,0.2384,1.8201,normal,high,strong,True,low,full,1.0,3.403,0.0,0.0,0.0,taken
ICP/USDT,balanced,541,2026-01-11 22:00:00,long,0.7478,0.1,0.0765,0.9165,normal,normal,strong,True,high,full,1.0,3.128,0.0,0.0,0.0,taken
ICP/USDT,balanced,577,2026-01-13 10:00:00,long,0.7015,0.1,0.0765,0.714,normal,normal,strong,True,high,full,1.0,3.277,0.0,0.0,0.0,taken
ICP/USDT,balanced,579,2026-01-13 12:00:00,long,0.7247,0.3,0.1951,1.1242,normal,high,strong,True,high,full,1.0,3.434,0.0,0.0,0.0,taken
ICP/USDT,balanced,581,2026-01-13 14:00:00,long,0.7059,0.3,0.1951,1.6042,normal,high,strong,True,high,full,1.0,3.497,0.0,0.0,0.0,taken
ICP/USDT,balanced,583,2026-01-13 16:00:00,long,0.7135,0.3,0.2754,2.4491,normal,high,normal,False,high,full,1.0,3.56,0.0,0.0,0.0,taken
ICP/USDT,balanced,585,2026-01-13 18:00:00,long,0.7173,0.3,0.306,2.7138,normal,high,normal,False,normal,full,1.0,3.489,0.0,0.0,0.0,taken
ICP/USDT,balanced,590,2026-01-13 23:00:00,long,0.7262,0.3,0.2754,3.3161,normal,high,normal,False,high,full,1.0,3.626,0.0,0.0,0.0,taken
ICP/USDT,balanced,600,2026-01-14 09:00:00,long,0.7195,0.3,0.1951,1.8386,normal,high,strong,True,high,full,1.0,3.87,0.0,0.0,0.0,taken
ICP/USDT,balanced,602,2026-01-14 11:00:00,long,0.7249,0.3,0.1951,2.0576,normal,high,strong,True,high,full,1.0,3.873,0.0,0.0,0.0,taken
ICP/USDT,balanced,625,2026-01-15 10:00:00,long,0.7198,0.3,0.3366,4.7668,normal,high,normal,False,low,full,1.0,4.255,0.0,0.0,0.0,taken
ICP/USDT,balanced,629,2026-01-15 14:00:00,long,0.7917,0.3,0.3366,4.8218,normal,high,normal,False,low,full,1.0,4.24,0.0,0.0,0.0,taken
ICP/USDT,balanced,631,2026-01-15 16:00:00,long,0.7701,0.3,0.3366,3.9953,normal,high,normal,False,low,full,1.0,4.26,0.0,0.0,0.0,taken
ICP/USDT,balanced,875,2026-01-25 20:00:00,long,0.7185,0.1,0.0765,1.0842,normal,normal,strong,True,high,full,1.0,3.228,0.0,0.0,0.0,taken
ICP/USDT,balanced,877,2026-01-25 22:00:00,long,0.7365,0.1,0.0935,1.1677,normal,normal,strong,True,low,full,1.0,3.221,0.0,0.0,0.0,taken
ICP/USDT,balanced,1176,2026-02-07 09:00:00,long,0.7065,0.3,0.3366,1.187,normal,low,strong,True,low,full,1.0,2.417,0.0,0.0,0.0,taken
ICP/USDT,balanced,1178,2026-02-07 11:00:00,long,0.7407,0.3,0.3366,1.3036,normal,low,strong,True,low,full,1.0,2.414,0.0,0.0,0.0,taken
ICP/USDT,balanced,1194,2026-02-08 03:00:00,long,0.7019,0.3,0.4752,1.0996,normal,low,normal,False,low,full,1.0,2.415,0.0,0.0,0.0,taken
ICP/USDT,balanced,1270,2026-02-11 07:00:00,long,0.7953,0.1,0.108,1.2596,normal,normal,normal,False,high,full,1.0,2.304,0.0,0.0,0.0,taken
ICP/USDT,balanced,1272,2026-02-11 09:00:00,long,0.798,0.3,0.3366,1.0992,normal,low,strong,True,low,full,1.0,2.292,0.0,0.0,0.0,taken
ICP/USDT,balanced,1311,2026-02-13 00:00:00,long,0.7384,0.3,0.2167,1.5666,normal,high,strong,True,normal,full,1.0,2.312,0.0,0.0,0.0,taken
ICP/USDT,balanced,1316,2026-02-13 05:00:00,long,0.7296,0.1,0.0935,1.2621,normal,normal,strong,True,low,full,1.0,2.282,0.0,0.0,0.0,taken
ICP/USDT,balanced,1327,2026-02-13 16:00:00,long,0.746,0.1,0.0765,1.0255,normal,normal,strong,True,high,full,1.0,2.388,0.0,0.0,0.0,taken
ICP/USDT,balanced,1329,2026-02-13 18:00:00,long,0.8022,0.1,0.0701,1.2927,very_high,normal,strong,True,low,full,1.0,2.395,0.0,0.0,0.0,taken
ICP/USDT,balanced,1331,2026-02-13 20:00:00,long,0.8109,0.1,0.0701,1.2531,very_high,normal,strong,True,low,full,1.0,2.388,0.0,0.0,0.0,taken
ICP/USDT,balanced,1333,2026-02-13 22:00:00,long,0.7681,0.1,0.0935,1.0253,normal,normal,strong,True,low,full,1.0,2.4,0.0,0.0,0.0,taken
ICP/USDT,balanced,1532,2026-02-22 05:00:00,long,0.7103,0.3,0.4752,0.6939,normal,low,normal,False,low,full,1.0,2.163,0.0,0.0,0.0,taken
ICP/USDT,balanced,1555,2026-02-23 04:00:00,long,0.7286,0.1,0.132,1.0019,normal,normal,normal,False,low,full,1.0,2.033,0.0,0.0,0.0,taken
ICP/USDT,balanced,1592,2026-02-24 17:00:00,long,0.7016,0.3,0.2754,0.7537,normal,low,strong,True,high,full,1.0,2.13,0.0,0.0,0.0,taken
ICP/USDT,balanced,1594,2026-02-24 19:00:00,long,0.7539,0.3,0.3366,0.9111,normal,low,strong,True,low,full,1.0,2.128,0.0,0.0,0.0,taken
ICP/USDT,balanced,1596,2026-02-24 21:00:00,long,0.7683,0.3,0.3366,0.9993,normal,low,strong,True,low,full,1.0,2.118,0.0,0.0,0.0,taken
ICP/USDT,balanced,1598,2026-02-24 23:00:00,long,0.7661,0.3,0.3366,0.9315,normal,low,strong,True,low,full,1.0,2.117,0.0,0.0,0.0,taken
ICP/USDT,balanced,1600,2026-02-25 01:00:00,long,0.7154,0.3,0.1951,0.9518,normal,high,strong,True,high,full,1.0,2.207,0.0,0.0,0.0,taken
ICP/USDT,balanced,1629,2026-02-26 06:00:00,long,0.7145,0.3,0.2384,2.1101,normal,high,strong,True,low,full,1.0,2.398,0.0,0.0,0.0,taken
ICP/USDT,balanced,1631,2026-02-26 08:00:00,long,0.8123,0.3,0.2524,2.8283,very_high,high,normal,False,low,full,1.0,2.392,0.0,0.0,0.0,taken
ICP/USDT,balanced,1679,2026-02-28 08:00:00,long,0.7562,0.3,0.2167,2.123,normal,high,strong,True,normal,full,1.0,2.289,0.0,0.0,0.0,taken
ICP/USDT,balanced,1681,2026-02-28 10:00:00,long,0.7853,0.1,0.085,2.275,normal,normal,strong,True,normal,full,1.0,2.297,0.0,0.0,0.0,taken
ICP/USDT,balanced,1683,2026-02-28 12:00:00,long,0.8223,0.1,0.0701,2.4651,very_high,normal,strong,True,low,full,1.0,2.302,0.0,0.0,0.0,taken
ICP/USDT,balanced,1685,2026-02-28 14:00:00,long,0.7178,0.1,0.132,1.6502,normal,normal,normal,False,low,full,1.0,2.335,0.0,0.0,0.0,taken
ICP/USDT,balanced,1707,2026-03-01 12:00:00,long,0.7134,0.3,0.3366,1.2776,normal,low,strong,True,low,full,1.0,2.398,0.0,0.0,0.0,taken
ICP/USDT,balanced,1744,2026-03-03 01:00:00,long,0.7468,0.1,0.0935,1.6531,normal,normal,strong,True,low,full,1.0,2.383,0.0,0.0,0.0,taken
ICP/USDT,balanced,1746,2026-03-03 03:00:00,long,0.805,0.1,0.099,2.09,very_high,normal,normal,False,low,full,1.0,2.404,0.0,0.0,0.0,taken
ICP/USDT,balanced,1865,2026-03-08 02:00:00,long,0.7504,0.3,0.3366,0.8071,normal,low,strong,True,low,full,1.0,2.393,0.0,0.0,0.0,taken
ICP/USDT,balanced,1867,2026-03-08 04:00:00,long,0.7332,0.3,0.3366,0.6304,normal,low,strong,True,low,full,1.0,2.387,0.0,0.0,0.0,taken
ICP/USDT,balanced,1869,2026-03-08 06:00:00,long,0.7571,0.3,0.3366,0.6984,normal,low,strong,True,low,full,1.0,2.4,0.0,0.0,0.0,taken
ICP/USDT,balanced,1934,2026-03-10 23:00:00,long,0.7578,0.3,0.2754,1.3361,normal,high,normal,False,high,full,1.0,2.385,0.0,0.0,0.0,taken
ICP/USDT,balanced,1936,2026-03-11 01:00:00,long,0.8103,0.3,0.1626,1.6957,very_high,high,strong,True,normal,full,1.0,2.409,0.0,0.0,0.0,taken
ICP/USDT,balanced,1938,2026-03-11 03:00:00,long,0.7987,0.3,0.2384,1.569,normal,high,strong,True,low,full,1.0,2.392,0.0,0.0,0.0,taken
ICP/USDT,balanced,1940,2026-03-11 05:00:00,long,0.7724,0.1,0.085,1.1931,normal,normal,strong,True,normal,full,1.0,2.358,0.0,0.0,0.0,taken
ICP/USDT,balanced,1965,2026-03-12 06:00:00,long,0.7297,0.3,0.3366,1.4612,normal,high,normal,False,low,full,1.0,2.556,0.0,0.0,0.0,taken
ICP/USDT,balanced,2264,2026-03-24 17:00:00,long,0.7235,0.3,0.3366,0.4664,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2265,2026-03-24 18:00:00,long,0.7175,0.3,0.3366,0.4499,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2467,2026-04-02 04:00:00,long,0.7251,0.3,0.1951,0.6476,normal,high,strong,True,high,full,1.0,2.215,0.0,0.0,0.0,taken
ICP/USDT,balanced,2546,2026-04-05 11:00:00,long,0.7253,0.3,0.4752,0.1542,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2547,2026-04-05 12:00:00,long,0.7177,0.3,0.3888,0.1425,normal,low,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2564,2026-04-06 05:00:00,long,0.7004,0.3,0.3366,0.2128,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2581,2026-04-06 22:00:00,long,0.7527,0.3,0.2167,0.5786,normal,high,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2582,2026-04-06 23:00:00,long,0.8056,0.3,0.1463,0.7121,very_high,high,strong,True,high,full,1.0,2.297,0.0,0.0,0.0,taken
ICP/USDT,balanced,2584,2026-04-07 01:00:00,long,0.8362,0.1,0.0638,0.7035,very_high,normal,strong,True,normal,full,1.0,2.281,0.0,0.0,0.0,taken
ICP/USDT,balanced,2586,2026-04-07 03:00:00,long,0.7986,0.1,0.0935,0.5924,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2587,2026-04-07 04:00:00,long,0.7919,0.1,0.0935,0.4961,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2588,2026-04-07 05:00:00,long,0.7906,0.1,0.0935,0.4844,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2589,2026-04-07 06:00:00,long,0.7905,0.1,0.132,0.4741,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2607,2026-04-08 00:00:00,long,0.7454,0.3,0.1951,1.0335,normal,high,strong,True,high,full,1.0,2.448,0.0,0.0,0.0,taken
ICP/USDT,balanced,2609,2026-04-08 02:00:00,long,0.7178,0.3,0.1951,1.0129,normal,high,strong,True,high,full,1.0,2.467,0.0,0.0,0.0,taken
ICP/USDT,balanced,2631,2026-04-09 00:00:00,long,0.8352,0.3,0.1788,1.5979,very_high,high,strong,True,low,full,1.0,2.422,0.0,0.0,0.0,taken
ICP/USDT,balanced,2633,2026-04-09 02:00:00,long,0.8191,0.3,0.2524,1.4223,very_high,high,normal,False,low,full,1.0,2.454,0.0,0.0,0.0,taken
ICP/USDT,balanced,2763,2026-04-14 12:00:00,long,0.7194,0.1,0.12,0.3418,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2769,2026-04-14 18:00:00,long,0.7576,0.3,0.2754,0.6966,normal,high,normal,False,high,full,1.0,2.423,0.0,0.0,0.0,taken
ICP/USDT,balanced,2771,2026-04-14 20:00:00,long,0.721,0.3,0.1951,0.5897,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
ICP/USDT,balanced,2772,2026-04-14 21:00:00,long,0.7577,0.3,0.3366,0.7092,normal,high,normal,False,low,full,1.0,2.433,0.0,0.0,0.0,taken
ICP/USDT,balanced,2774,2026-04-14 23:00:00,long,0.764,0.3,0.3366,0.7362,normal,high,normal,False,low,full,1.0,2.428,0.0,0.0,0.0,taken
