symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
INJ/USDT,balanced,1952,2026-03-11 17:00:00,long,0.7164,0.27,0.2525,0.7398,normal,normal,strong,True,low,full,1.0,2.992,0.0,0.0,0.0,taken
INJ/USDT,balanced,2015,2026-03-14 08:00:00,long,0.7047,0.243,0.3849,0.28,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2016,2026-03-14 09:00:00,long,0.727,0.243,0.2726,0.333,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2017,2026-03-14 10:00:00,long,0.7297,0.243,0.3849,0.3342,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2019,2026-03-14 12:00:00,long,0.7014,0.243,0.2231,0.2403,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2053,2026-03-15 22:00:00,long,0.7519,0.243,0.2624,0.4867,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2054,2026-03-15 23:00:00,long,0.7465,0.243,0.2624,0.4635,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2266,2026-03-24 19:00:00,long,0.7349,0.243,0.2272,0.529,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2769,2026-04-14 18:00:00,long,0.7739,0.2187,0.2362,0.6156,normal,normal,normal,False,high,full,1.0,2.958,0.0,0.0,0.0,taken
INJ/USDT,balanced,2771,2026-04-14 20:00:00,long,0.7732,0.2187,0.2887,0.6021,normal,normal,normal,False,low,full,1.0,2.966,0.0,0.0,0.0,taken
INJ/USDT,balanced,2774,2026-04-14 23:00:00,long,0.7751,0.2187,0.2887,0.6336,normal,normal,normal,False,low,full,1.0,2.984,0.0,0.0,0.0,taken
INJ/USDT,balanced,2779,2026-04-15 04:00:00,long,0.7571,0.2187,0.1673,0.4701,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2780,2026-04-15 05:00:00,long,0.7828,0.2187,0.2887,0.4931,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2783,2026-04-15 08:00:00,long,0.7489,0.2187,0.2008,0.3114,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2784,2026-04-15 09:00:00,long,0.7739,0.2187,0.3464,0.3948,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2785,2026-04-15 10:00:00,long,0.7666,0.2187,0.2887,0.4016,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2786,2026-04-15 11:00:00,long,0.7162,0.2187,0.2362,0.3071,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2787,2026-04-15 12:00:00,long,0.7569,0.2187,0.1673,0.4105,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2788,2026-04-15 13:00:00,long,0.7373,0.2187,0.1673,0.3837,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
INJ/USDT,balanced,2792,2026-04-15 17:00:00,long,0.7071,0.2187,0.1422,0.6294,normal,high,strong,True,high,full,1.0,3.145,0.0,0.0,0.0,taken
