symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
LTC/USDT,balanced,620,2026-01-15 05:00:00,long,0.7178,0.3,0.2384,1.2049,normal,high,strong,True,low,full,1.0,74.65,0.0,0.0,0.0,taken
LTC/USDT,balanced,622,2026-01-15 07:00:00,long,0.7153,0.3,0.2384,1.0759,normal,high,strong,True,low,full,1.0,74.55,0.0,0.0,0.0,taken
LTC/USDT,balanced,634,2026-01-15 19:00:00,long,0.7161,0.3,0.2384,1.4011,normal,high,strong,True,low,full,1.0,72.03,0.0,0.0,0.0,taken
LTC/USDT,balanced,636,2026-01-15 21:00:00,long,0.713,0.3,0.2384,1.4142,normal,high,strong,True,low,full,1.0,72.16,0.0,0.0,0.0,taken
LTC/USDT,balanced,638,2026-01-15 23:00:00,long,0.7107,0.3,0.2384,1.165,normal,high,strong,True,low,full,1.0,72.21,0.0,0.0,0.0,taken
LTC/USDT,balanced,1155,2026-02-06 12:00:00,long,0.7144,0.3,0.3366,2.4517,normal,high,normal,False,low,full,1.0,52.57,0.0,0.0,0.0,taken
LTC/USDT,balanced,1271,2026-02-11 08:00:00,long,0.7092,0.3,0.3366,0.3855,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1303,2026-02-12 16:00:00,long,0.7256,0.3,0.324,0.6626,normal,normal,normal,False,high,full,1.0,51.72,0.0,0.0,0.0,taken
LTC/USDT,balanced,1305,2026-02-12 18:00:00,long,0.7132,0.3,0.36,0.7154,normal,normal,normal,False,normal,full,1.0,52.06,0.0,0.0,0.0,taken
LTC/USDT,balanced,1307,2026-02-12 20:00:00,long,0.7573,0.3,0.3366,1.0313,normal,high,normal,False,low,full,1.0,51.96,0.0,0.0,0.0,taken
LTC/USDT,balanced,1468,2026-02-19 13:00:00,long,0.7192,0.3,0.2754,0.3907,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1469,2026-02-19 14:00:00,long,0.741,0.3,0.2754,0.4889,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1470,2026-02-19 15:00:00,long,0.7444,0.3,0.2754,0.5416,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1471,2026-02-19 16:00:00,long,0.7486,0.3,0.306,0.5786,normal,low,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1472,2026-02-19 17:00:00,long,0.7132,0.3,0.306,0.5252,normal,low,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1480,2026-02-20 01:00:00,long,0.7289,0.3,0.2805,0.5858,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1481,2026-02-20 02:00:00,long,0.7116,0.3,0.2805,0.5136,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1483,2026-02-20 04:00:00,long,0.7082,0.3,0.306,0.41,normal,low,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1486,2026-02-20 07:00:00,long,0.7001,0.3,0.3366,0.2533,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
LTC/USDT,balanced,1592,2026-02-24 17:00:00,long,0.7269,0.3,0.36,0.6739,normal,normal,normal,False,normal,full,1.0,51.53,0.0,0.0,0.0,taken
