symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
SHIB/USDT,aggressive,284,2026-01-01 05:00:00,long,0.72,0.2,0.187,0.7523,normal,normal,strong,True,low,full,1.0,7e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,286,2026-01-01 07:00:00,long,0.656,0.2,0.3168,0.3209,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
SHIB/USDT,aggressive,334,2026-01-03 07:00:00,long,0.8081,0.2,0.0975,2.26,very_high,high,strong,True,high,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,336,2026-01-03 09:00:00,long,0.825,0.2,0.1683,2.0115,very_high,high,normal,False,low,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,338,2026-01-03 11:00:00,long,0.7994,0.2,0.159,1.6929,normal,high,strong,True,low,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,340,2026-01-03 13:00:00,long,0.8312,0.2,0.1084,1.6509,very_high,high,strong,True,normal,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,342,2026-01-03 15:00:00,long,0.8267,0.2,0.198,1.4785,very_high,normal,normal,False,low,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,344,2026-01-03 17:00:00,long,0.6637,0.2,0.187,0.7474,normal,normal,strong,True,low,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,347,2026-01-03 20:00:00,long,0.6542,0.2,0.187,0.5734,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
SHIB/USDT,aggressive,349,2026-01-03 22:00:00,long,0.6775,0.2,0.187,0.5053,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
SHIB/USDT,aggressive,350,2026-01-03 23:00:00,long,0.6716,0.2,0.187,0.4643,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
SHIB/USDT,aggressive,351,2026-01-04 00:00:00,long,0.6886,0.2,0.187,0.5643,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
SHIB/USDT,aggressive,352,2026-01-04 01:00:00,long,0.7042,0.2,0.17,0.6753,normal,normal,strong,True,normal,full,1.0,8e-06,0.0,0.0,0.0,taken
SHIB/USDT,aggressive,356,2026-01-04 05:00:00,long,0.7311,0.2,0.159,1.1084,normal,high,strong,True,low,full,1.0,8e-06,0.0,0.0,0.0,taken
