symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
SOL/USDT,aggressive,1155,2026-02-06 12:00:00,long,0.6615,0.2,0.2244,3.4866,normal,high,normal,False,low,full,1.0,81.89,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1305,2026-02-12 18:00:00,long,0.6622,0.6,0.216,1.0615,normal,normal,normal,False,high,full,1.0,77.61,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1307,2026-02-12 20:00:00,long,0.6847,0.6,0.153,1.3385,normal,normal,strong,True,high,full,1.0,76.92,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1309,2026-02-12 22:00:00,long,0.7334,0.6,0.24,1.6919,normal,normal,normal,False,normal,full,1.0,78.1,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1311,2026-02-13 00:00:00,long,0.7399,0.6,0.187,1.6982,normal,normal,strong,True,low,full,1.0,78.02,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1317,2026-02-13 06:00:00,long,0.7253,0.2,0.3168,1.2381,normal,low,normal,False,low,full,1.0,78.62,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1319,2026-02-13 08:00:00,long,0.7406,0.2,0.3168,1.2075,normal,low,normal,False,low,full,1.0,79.73,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1321,2026-02-13 10:00:00,long,0.7208,0.2,0.204,0.9202,normal,low,strong,True,normal,full,1.0,80.36,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1324,2026-02-13 13:00:00,long,0.7105,0.2,0.288,0.8485,normal,low,normal,False,normal,full,1.0,80.29,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1326,2026-02-13 15:00:00,long,0.7082,0.6,0.153,1.1482,normal,normal,strong,True,high,full,1.0,83.2,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1328,2026-02-13 17:00:00,long,0.7046,0.6,0.153,1.2841,normal,normal,strong,True,high,full,1.0,84.34,0.0,0.0,0.0,taken
SOL/USDT,aggressive,1330,2026-02-13 19:00:00,long,0.6569,0.2,0.1445,1.0984,normal,high,strong,True,normal,full,1.0,84.66,0.0,0.0,0.0,taken
