symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
SOL/USDT,balanced,1306,2026-02-12 19:00:00,long,0.7322,0.6,0.2295,1.1312,normal,normal,strong,True,high,full,1.0,77.62,0.0,0.0,0.0,taken
SOL/USDT,balanced,1308,2026-02-12 21:00:00,long,0.7041,0.6,0.255,1.0573,normal,normal,strong,True,normal,full,1.0,77.34,0.0,0.0,0.0,taken
SOL/USDT,balanced,1310,2026-02-12 23:00:00,long,0.7421,0.6,0.255,1.2266,normal,normal,strong,True,normal,full,1.0,78.4,0.0,0.0,0.0,taken
SOL/USDT,balanced,1317,2026-02-13 06:00:00,long,0.7253,0.3,0.4752,0.89,normal,low,normal,False,low,full,1.0,78.62,0.0,0.0,0.0,taken
SOL/USDT,balanced,1319,2026-02-13 08:00:00,long,0.7406,0.3,0.4752,0.8679,normal,low,normal,False,low,full,1.0,79.73,0.0,0.0,0.0,taken
SOL/USDT,balanced,1321,2026-02-13 10:00:00,long,0.7208,0.3,0.306,0.6391,normal,low,strong,True,normal,full,1.0,80.36,0.0,0.0,0.0,taken
SOL/USDT,balanced,1324,2026-02-13 13:00:00,long,0.7105,0.3,0.432,0.5815,normal,low,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
SOL/USDT,balanced,1325,2026-02-13 14:00:00,long,0.7534,0.3,0.2754,0.8042,normal,low,strong,True,high,full,1.0,81.33,0.0,0.0,0.0,taken
SOL/USDT,balanced,1327,2026-02-13 16:00:00,long,0.7111,0.6,0.2295,0.9152,normal,normal,strong,True,high,full,1.0,84.22,0.0,0.0,0.0,taken
SOL/USDT,balanced,1334,2026-02-13 23:00:00,long,0.7027,0.6,0.2805,0.9621,normal,normal,strong,True,low,full,1.0,84.33,0.0,0.0,0.0,taken
SOL/USDT,balanced,1336,2026-02-14 01:00:00,long,0.7088,0.6,0.396,0.9674,normal,normal,normal,False,low,full,1.0,84.99,0.0,0.0,0.0,taken
SOL/USDT,balanced,1587,2026-02-24 12:00:00,long,0.7322,0.6,0.396,0.8836,normal,normal,normal,False,low,full,1.0,76.59,0.0,0.0,0.0,taken
SOL/USDT,balanced,1590,2026-02-24 15:00:00,long,0.7036,0.6,0.36,0.6817,normal,normal,normal,False,normal,full,1.0,77.3,0.0,0.0,0.0,taken
SOL/USDT,balanced,1592,2026-02-24 17:00:00,long,0.7244,0.6,0.36,0.7191,normal,normal,normal,False,normal,full,1.0,77.98,0.0,0.0,0.0,taken
SOL/USDT,balanced,1594,2026-02-24 19:00:00,long,0.7486,0.6,0.2805,0.7329,normal,normal,strong,True,low,full,1.0,78.38,0.0,0.0,0.0,taken
SOL/USDT,balanced,1596,2026-02-24 21:00:00,long,0.7598,0.6,0.2805,0.7607,normal,normal,strong,True,low,full,1.0,78.55,0.0,0.0,0.0,taken
SOL/USDT,balanced,1598,2026-02-24 23:00:00,long,0.7502,0.6,0.2295,0.7258,normal,normal,strong,True,high,full,1.0,78.99,0.0,0.0,0.0,taken
SOL/USDT,balanced,1600,2026-02-25 01:00:00,long,0.7008,0.3,0.1951,0.7933,normal,high,strong,True,high,full,1.0,82.0,0.0,0.0,0.0,taken
SOL/USDT,balanced,1604,2026-02-25 05:00:00,long,0.7037,0.3,0.306,0.8428,normal,high,normal,False,normal,full,1.0,81.3,0.0,0.0,0.0,taken
SOL/USDT,balanced,1606,2026-02-25 07:00:00,long,0.7291,0.3,0.2384,0.9375,normal,high,strong,True,low,full,1.0,82.19,0.0,0.0,0.0,taken
SOL/USDT,balanced,1608,2026-02-25 09:00:00,long,0.7391,0.3,0.2384,0.9497,normal,high,strong,True,low,full,1.0,82.54,0.0,0.0,0.0,taken
SOL/USDT,balanced,1610,2026-02-25 11:00:00,long,0.7164,0.3,0.306,0.8734,normal,high,normal,False,normal,full,1.0,83.39,0.0,0.0,0.0,taken
SOL/USDT,balanced,1612,2026-02-25 13:00:00,long,0.7213,0.3,0.1951,0.9194,normal,high,strong,True,high,full,1.0,83.82,0.0,0.0,0.0,taken
