symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
TON/USDT,balanced,94,2025-12-24 07:00:00,long,0.7115,0.1,0.0935,0.3142,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
TON/USDT,balanced,95,2025-12-24 08:00:00,long,0.7044,0.1,0.085,0.2451,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
TON/USDT,balanced,433,2026-01-07 10:00:00,long,0.71,0.3,0.4752,0.4803,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
TON/USDT,balanced,1283,2026-02-11 20:00:00,long,0.7001,0.1,0.0765,0.763,normal,normal,strong,True,high,full,1.0,1.325,0.0,0.0,0.0,taken
TON/USDT,balanced,1715,2026-03-01 20:00:00,long,0.7631,0.09,0.0689,1.3116,normal,normal,strong,True,high,full,1.0,1.197,0.0,0.0,0.0,taken
TON/USDT,balanced,1717,2026-03-01 22:00:00,long,0.7109,0.09,0.0765,0.9504,normal,normal,strong,True,normal,full,1.0,1.197,0.0,0.0,0.0,taken
TON/USDT,balanced,1720,2026-03-02 01:00:00,long,0.7482,0.09,0.108,1.1772,normal,normal,normal,False,normal,full,1.0,1.206,0.0,0.0,0.0,taken
TON/USDT,balanced,1775,2026-03-04 08:00:00,long,0.7105,0.27,0.2479,0.5448,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
TON/USDT,balanced,1777,2026-03-04 10:00:00,long,0.7531,0.27,0.2479,0.8811,normal,low,strong,True,high,full,1.0,1.292,0.0,0.0,0.0,taken
TON/USDT,balanced,1779,2026-03-04 12:00:00,long,0.7625,0.09,0.0765,0.9763,normal,normal,strong,True,normal,full,1.0,1.298,0.0,0.0,0.0,taken
TON/USDT,balanced,1781,2026-03-04 14:00:00,long,0.7808,0.09,0.0689,1.1412,normal,normal,strong,True,high,full,1.0,1.297,0.0,0.0,0.0,taken
TON/USDT,balanced,1783,2026-03-04 16:00:00,long,0.7722,0.27,0.3029,1.1802,normal,high,normal,False,low,full,1.0,1.294,0.0,0.0,0.0,taken
