symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
VET/USDT,aggressive,1683,2026-02-28 11:00:00,long,0.6688,0.2,0.1301,1.249,normal,high,strong,True,high,full,1.0,0.00685,0.0,0.0,0.0,taken
VET/USDT,aggressive,1753,2026-03-03 09:00:00,long,0.6578,0.2,0.204,0.8069,normal,low,strong,True,normal,full,1.0,0.007,0.0,0.0,0.0,taken
VET/USDT,aggressive,1755,2026-03-03 11:00:00,long,0.6662,0.2,0.288,0.8511,normal,low,normal,False,normal,full,1.0,0.00705,0.0,0.0,0.0,taken
VET/USDT,aggressive,1757,2026-03-03 13:00:00,long,0.6652,0.2,0.288,0.8232,normal,low,normal,False,normal,full,1.0,0.00706,0.0,0.0,0.0,taken
VET/USDT,aggressive,1897,2026-03-09 09:00:00,long,0.678,0.2,0.204,1.0597,normal,high,normal,False,normal,full,1.0,0.006985,0.0,0.0,0.0,taken
VET/USDT,aggressive,1899,2026-03-09 11:00:00,long,0.6734,0.2,0.2244,1.0163,normal,high,normal,False,low,full,1.0,0.006974,0.0,0.0,0.0,taken
VET/USDT,aggressive,1902,2026-03-09 14:00:00,long,0.7145,0.2,0.216,1.0545,normal,normal,normal,False,high,full,1.0,0.007054,0.0,0.0,0.0,taken
VET/USDT,aggressive,1904,2026-03-09 16:00:00,long,0.6583,0.2,0.24,0.7402,normal,normal,normal,False,normal,full,1.0,0.007024,0.0,0.0,0.0,taken
VET/USDT,aggressive,1937,2026-03-11 01:00:00,long,0.6566,0.2,0.2244,0.8628,normal,high,normal,False,low,full,1.0,0.007017,0.0,0.0,0.0,taken
VET/USDT,aggressive,1939,2026-03-11 03:00:00,long,0.6901,0.2,0.1301,0.9493,normal,high,strong,True,high,full,1.0,0.007027,0.0,0.0,0.0,taken
VET/USDT,aggressive,1962,2026-03-12 02:00:00,long,0.7784,0.2,0.3168,0.9271,normal,low,normal,False,low,full,1.0,0.00702,0.0,0.0,0.0,taken
VET/USDT,aggressive,1964,2026-03-12 04:00:00,long,0.6856,0.2,0.2244,0.4578,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,1965,2026-03-12 05:00:00,long,0.7082,0.2,0.2244,0.4476,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,1966,2026-03-12 06:00:00,long,0.6947,0.2,0.2244,0.3888,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2243,2026-03-23 19:00:00,long,0.6671,0.2,0.2244,0.9906,normal,high,normal,False,low,full,1.0,0.007041,0.0,0.0,0.0,taken
VET/USDT,aggressive,2259,2026-03-24 11:00:00,long,0.6534,0.2,0.216,0.395,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2262,2026-03-24 14:00:00,long,0.6987,0.2,0.216,0.6155,normal,normal,normal,False,high,full,1.0,0.007066,0.0,0.0,0.0,taken
VET/USDT,aggressive,2473,2026-04-02 09:00:00,long,0.7063,0.2,0.2244,0.8254,normal,high,normal,False,low,full,1.0,0.0067,0.0,0.0,0.0,taken
VET/USDT,aggressive,2487,2026-04-02 23:00:00,long,0.6835,0.2,0.264,0.5291,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2489,2026-04-03 01:00:00,long,0.734,0.2,0.264,0.6811,normal,normal,normal,False,low,full,1.0,0.006765,0.0,0.0,0.0,taken
VET/USDT,aggressive,2491,2026-04-03 03:00:00,long,0.7162,0.2,0.153,0.705,normal,normal,strong,True,high,full,1.0,0.006858,0.0,0.0,0.0,taken
VET/USDT,aggressive,2493,2026-04-03 05:00:00,long,0.7765,0.2,0.1301,0.911,normal,high,strong,True,high,full,1.0,0.006993,0.0,0.0,0.0,taken
VET/USDT,aggressive,2495,2026-04-03 07:00:00,long,0.7641,0.2,0.1301,0.8834,normal,high,strong,True,high,full,1.0,0.006938,0.0,0.0,0.0,taken
VET/USDT,aggressive,2497,2026-04-03 09:00:00,long,0.7696,0.2,0.1445,0.9049,normal,high,strong,True,normal,full,1.0,0.006981,0.0,0.0,0.0,taken
VET/USDT,aggressive,2499,2026-04-03 11:00:00,long,0.6557,0.2,0.1301,0.5843,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2500,2026-04-03 12:00:00,long,0.7425,0.2,0.1836,1.0533,normal,high,normal,False,high,full,1.0,0.006982,0.0,0.0,0.0,taken
VET/USDT,aggressive,2513,2026-04-04 01:00:00,long,0.7259,0.2,0.1301,0.7661,normal,high,strong,True,high,full,1.0,0.007057,0.0,0.0,0.0,taken
VET/USDT,aggressive,2598,2026-04-07 14:00:00,long,0.6646,0.2,0.3168,0.5142,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2599,2026-04-07 15:00:00,long,0.7026,0.2,0.288,0.5964,normal,low,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2600,2026-04-07 16:00:00,long,0.7051,0.2,0.3168,0.6034,normal,low,normal,False,low,full,1.0,0.007006,0.0,0.0,0.0,taken
VET/USDT,aggressive,2664,2026-04-10 08:00:00,long,0.6919,0.2,0.153,0.5656,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2665,2026-04-10 09:00:00,long,0.6832,0.2,0.24,0.5425,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2666,2026-04-10 10:00:00,long,0.7012,0.2,0.216,0.6018,normal,normal,normal,False,high,full,1.0,0.007018,0.0,0.0,0.0,taken
VET/USDT,aggressive,2770,2026-04-14 18:00:00,long,0.6661,0.2,0.216,0.5888,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2775,2026-04-14 23:00:00,long,0.6748,0.2,0.264,0.589,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2792,2026-04-15 16:00:00,long,0.7203,0.2,0.17,0.5585,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2793,2026-04-15 17:00:00,long,0.7428,0.2,0.187,0.6349,normal,normal,strong,True,low,full,1.0,0.007014,0.0,0.0,0.0,taken
VET/USDT,aggressive,2795,2026-04-15 19:00:00,long,0.7493,0.2,0.187,0.6571,normal,normal,strong,True,low,full,1.0,0.007034,0.0,0.0,0.0,taken
VET/USDT,aggressive,2797,2026-04-15 21:00:00,long,0.751,0.2,0.24,0.6556,normal,normal,normal,False,normal,full,1.0,0.007031,0.0,0.0,0.0,taken
VET/USDT,aggressive,2799,2026-04-15 23:00:00,long,0.7467,0.2,0.2244,0.5409,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2800,2026-04-16 00:00:00,long,0.7279,0.2,0.3168,0.4936,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2801,2026-04-16 01:00:00,long,0.7234,0.2,0.204,0.4914,normal,low,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2872,2026-04-19 00:00:00,long,0.7033,0.2,0.204,0.5676,normal,low,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2873,2026-04-19 01:00:00,long,0.7156,0.2,0.2244,0.5948,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,aggressive,2874,2026-04-19 02:00:00,long,0.736,0.2,0.3168,0.6619,normal,low,normal,False,low,full,1.0,0.007032,0.0,0.0,0.0,taken
VET/USDT,aggressive,2894,2026-04-19 22:00:00,long,0.6811,0.2,0.1301,1.1247,normal,high,strong,True,high,full,1.0,0.006968,0.0,0.0,0.0,taken
VET/USDT,aggressive,2896,2026-04-20 00:00:00,long,0.7014,0.2,0.159,1.3063,normal,high,strong,True,low,full,1.0,0.006998,0.0,0.0,0.0,taken
VET/USDT,aggressive,2898,2026-04-20 02:00:00,long,0.7129,0.2,0.2244,1.1068,normal,high,normal,False,low,full,1.0,0.007036,0.0,0.0,0.0,taken
VET/USDT,aggressive,2901,2026-04-20 05:00:00,long,0.684,0.2,0.24,0.7429,normal,normal,normal,False,normal,full,1.0,0.006982,0.0,0.0,0.0,taken
VET/USDT,aggressive,2905,2026-04-20 09:00:00,long,0.6879,0.2,0.264,0.706,normal,normal,normal,False,low,full,1.0,0.007075,0.0,0.0,0.0,taken
VET/USDT,aggressive,2923,2026-04-21 03:00:00,long,0.6563,0.2,0.3168,0.418,normal,low,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
