symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
VET/USDT,balanced,1899,2026-03-09 12:00:00,long,0.7271,0.27,0.2754,0.8337,normal,high,normal,False,normal,full,1.0,0.007022,0.0,0.0,0.0,taken
VET/USDT,balanced,1901,2026-03-09 14:00:00,long,0.7145,0.27,0.2916,0.744,normal,normal,normal,False,high,full,1.0,0.007054,0.0,0.0,0.0,taken
VET/USDT,balanced,1961,2026-03-12 02:00:00,long,0.7784,0.27,0.4277,0.6503,normal,low,normal,False,low,full,1.0,0.00702,0.0,0.0,0.0,taken
VET/USDT,balanced,1964,2026-03-12 05:00:00,long,0.7082,0.27,0.3029,0.2661,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2253,2026-03-24 06:00:00,long,0.7116,0.27,0.324,0.4035,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2472,2026-04-02 09:00:00,long,0.7063,0.27,0.3029,0.5629,normal,high,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2488,2026-04-03 01:00:00,long,0.734,0.27,0.3564,0.4521,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2489,2026-04-03 02:00:00,long,0.7338,0.27,0.2916,0.507,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2490,2026-04-03 03:00:00,long,0.7162,0.27,0.2066,0.4693,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2491,2026-04-03 04:00:00,long,0.7664,0.27,0.2066,0.5691,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
VET/USDT,balanced,2492,2026-04-03 05:00:00,long,0.7765,0.27,0.1756,0.6374,normal,high,strong,True,high,full,1.0,0.006993,0.0,0.0,0.0,taken
VET/USDT,balanced,2494,2026-04-03 07:00:00,long,0.7641,0.27,0.1756,0.6145,normal,high,strong,True,high,full,1.0,0.006938,0.0,0.0,0.0,taken
VET/USDT,balanced,2496,2026-04-03 09:00:00,long,0.7696,0.27,0.1951,0.632,normal,high,strong,True,normal,full,1.0,0.006981,0.0,0.0,0.0,taken
VET/USDT,balanced,2499,2026-04-03 12:00:00,long,0.7425,0.27,0.2479,0.7465,normal,high,normal,False,high,full,1.0,0.006982,0.0,0.0,0.0,taken
