symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
XRP/USDT,balanced,357,2026-01-04 05:00:00,long,0.7156,0.3,0.1951,0.3262,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,358,2026-01-04 06:00:00,long,0.7177,0.3,0.2167,0.348,normal,high,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,359,2026-01-04 07:00:00,long,0.7211,0.3,0.2167,0.3931,normal,high,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,360,2026-01-04 08:00:00,long,0.722,0.3,0.1951,0.4332,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,361,2026-01-04 09:00:00,long,0.7204,0.3,0.2384,0.4801,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,362,2026-01-04 10:00:00,long,0.7229,0.3,0.2384,0.4943,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,586,2026-01-13 18:00:00,long,0.7015,0.1,0.085,0.4691,normal,normal,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
XRP/USDT,balanced,587,2026-01-13 19:00:00,long,0.7952,0.1,0.0765,0.8032,normal,normal,strong,True,high,full,1.0,2.1397,0.0,0.0,0.0,taken
XRP/USDT,balanced,589,2026-01-13 21:00:00,long,0.7538,0.3,0.3366,0.7981,normal,high,normal,False,low,full,1.0,2.1206,0.0,0.0,0.0,taken
XRP/USDT,balanced,1310,2026-02-12 22:00:00,long,0.7119,0.1,0.132,0.9503,normal,normal,normal,False,low,full,1.0,1.364,0.0,0.0,0.0,taken
XRP/USDT,balanced,1312,2026-02-13 00:00:00,long,0.7567,0.1,0.132,1.1623,normal,normal,normal,False,low,full,1.0,1.3536,0.0,0.0,0.0,taken
XRP/USDT,balanced,1328,2026-02-13 16:00:00,long,0.7299,0.1,0.0765,0.7569,normal,normal,strong,True,high,full,1.0,1.417,0.0,0.0,0.0,taken
