Feature importance (gain) for 1INCH/USDT
==================================================
efficiency_ratio_10                 : 66.728828
market_phase                        : 9.771396
volatility_regime                   : 6.946733
linreg_r2_14                        : 6.138713
fvg_distance                        : 4.170619
starc_position                      : 4.134364
dist_s1                             : 3.824649
atr_band_position                   : 3.656085
trend_regime                        : 3.510930
fib_dist_236                        : 3.179578
vwap                                : 3.130355
quantile_position                   : 3.128421
returns_1h_decay_std_24             : 3.100332
dist_ema_200                        : 3.031518
vwap_decay_std_24                   : 2.931884
fib_dist_382                        : 2.807671
supertrend                          : 2.798477
kvo_signal                          : 2.794786
adx_14                              : 2.782566
dist_s2                             : 2.731023
s2                                  : 2.712949
donchian_width                      : 2.693904
fib_range_pct                       : 2.691412
dow_cos                             : 2.690304
btc_dist_ema200                     : 2.682516
close_decay_std_24                  : 2.672933
keltner_width                       : 2.639457
ichimoku_senkou_a                   : 2.614884
volume_decay_std_24                 : 2.601946
gk_vol                              : 2.595222
