Feature importance (gain) for AAVE/USDT
==================================================
macro_confluence_score              : 75.162506
prc_total                           : 62.204185
efficiency_ratio_10                 : 26.252604
prc_momentum                        : 19.162931
prc_trend                           : 13.884195
prc_bands                           : 10.319534
dist_ema_50                         : 8.727140
macd                                : 8.065549
ichi_dist_cloud_top                 : 7.911027
aroon_osc                           : 7.796395
btc_ratio_ma_dist                   : 7.745498
dist_vwap                           : 7.674471
macd_signal                         : 7.668613
dist_ema_100                        : 7.449108
rel_perf_24h                        : 7.427886
funding_cum_8                       : 7.183599
dist_avwap_100                      : 6.958593
bb_pct_b                            : 6.878320
cci_20                              : 6.876054
dist_ema_200                        : 6.812306
ichi_dist_kijun                     : 6.645575
lower_low_count_20                  : 6.639156
dist_avwap_200                      : 6.601196
rsi_21                              : 6.600852
hour_cos                            : 6.590342
price_disp_atr_pct                  : 6.502095
gaussian_position                   : 6.476211
candle_pressure                     : 6.462270
bb_width_percentile                 : 6.437328
vol_confirm_ratio                   : 6.425230
