Feature importance (gain) for ADA/USDT
==================================================
macro_confluence_score              : 53.269844
prc_total                           : 53.216320
starc_position                      : 21.122671
atr_band_position                   : 20.402355
prc_momentum                        : 13.977457
rvi_osc                             : 9.978401
regime_high_vol                     : 9.635368
volatility_regime                   : 9.156953
rsi_14                              : 8.816373
bb_pct_b                            : 8.760221
prc_trend                           : 8.547652
cmo_14                              : 8.349317
volatility_ratio                    : 7.923296
ret_12h                             : 7.505793
momentum_confluence                 : 7.434910
atr_expansion                       : 6.638762
bos_up                              : 6.594674
rsi_7                               : 6.563450
elder_bull                          : 6.446486
donchian_position                   : 6.425353
range_position_score                : 6.338523
elder_bull_bear                     : 6.276931
dist_vwap                           : 6.221322
parkinson_vol                       : 6.193257
schaff_tc                           : 6.162177
dist_ema_21                         : 6.048956
ema_slope_9                         : 5.933776
supertrend_dir                      : 5.920408
dist_ema_9                          : 5.897455
ema_slope_21                        : 5.895463
