Feature importance (gain) for ADX/USDT
==================================================
efficiency_ratio_10                 : 87.565231
linreg_r2_14                        : 34.436844
market_phase                        : 23.745512
volatility_regime                   : 19.079840
atr_band_position                   : 17.883417
dist_r2                             : 15.544065
vwap_decay_mean_24                  : 13.116817
keltner_width                       : 10.828721
vwap                                : 10.730083
ema_200                             : 10.697441
adx_14                              : 10.618000
weekly_ema200                       : 10.538854
dist_weekly_ema200                  : 10.450271
dist_ema_200                        : 10.112112
close_decay_std_24                  : 10.093167
dist_r1                             : 10.053271
avwap_200                           : 9.780765
vwap_decay_std_24                   : 9.690150
weekly_macd                         : 9.687403
btc_dist_ema200                     : 9.616521
volume_decay_std_24                 : 9.520344
weekly_macd_signal                  : 9.437033
gk_vol                              : 8.857139
rolling_resistance                  : 8.636351
kvo_signal                          : 8.478630
price_zscore_200                    : 8.473714
ema_50                              : 8.380051
parkinson_vol                       : 8.051994
volume_decay_mean_24                : 7.860909
weekly_rsi                          : 7.857496
