Feature importance (gain) for AGLD/USDT
==================================================
efficiency_ratio_10                 : 90.121391
volatility_regime                   : 15.608809
linreg_r2_14                        : 13.668420
weekly_macd                         : 11.251949
kvo                                 : 10.461177
vwap                                : 10.285001
ichimoku_senkou_b                   : 9.977805
close                               : 9.726224
atr_band_position                   : 9.641981
weekly_macd_signal                  : 9.119499
low                                 : 9.107031
acc_dist                            : 9.095437
pvt                                 : 8.905916
close_decay_std_24                  : 8.763828
gk_vol                              : 8.592242
avwap_200                           : 8.313739
macd_signal                         : 8.275557
supertrend_dist                     : 8.182760
parkinson_vol                       : 8.004592
vwap_decay_std_24                   : 7.782352
atr_14                              : 7.768281
volume_decay_std_24                 : 7.761439
weekly_macd_hist                    : 7.503802
dist_bear_ob                        : 7.474900
adx_14                              : 7.347060
market_phase                        : 7.269609
vwap_delta_12                       : 7.245348
price_zscore_200                    : 7.215645
ema_100                             : 7.121767
dist_vwap                           : 6.964545
