Feature importance (gain) for ALGO/USDT
==================================================
regime_high_vol                     : 20.471445
prc_total                           : 17.804810
macro_confluence_score              : 17.138487
momentum_confluence                 : 13.968251
atr_band_position                   : 9.080143
starc_position                      : 7.116847
volatility_regime                   : 5.145350
bb_pct_b                            : 5.102665
elder_bull_bear                     : 4.950313
rvi_osc                             : 4.862755
prc_momentum                        : 4.238936
market_regime_code                  : 4.159944
ret_12h                             : 3.996176
atr_pct                             : 3.940902
dist_avwap_100                      : 3.656549
cci_20                              : 3.552152
pct_dist_to_support                 : 3.524779
elder_bear                          : 3.504454
donchian_position                   : 3.399517
ema_slope_50                        : 3.287991
atr_percentile                      : 3.180423
cmo_14                              : 3.072072
linreg_slope_14                     : 2.953028
close_delta_12                      : 2.780971
atr_14                              : 2.748608
prc_trend                           : 2.730894
rolling_volatility                  : 2.666730
ema_alignment                       : 2.651409
volatility_ratio                    : 2.634912
realized_volatility                 : 2.579716
