Feature importance (gain) for ALT/USDT
==================================================
efficiency_ratio_10                 : 63.428692
linreg_r2_14                        : 35.024769
market_phase                        : 14.177273
starc_position                      : 13.678938
volatility_regime                   : 12.380849
dist_bull_ob                        : 8.876505
avwap_100                           : 7.491494
keltner_width                       : 7.461728
close_decay_std_24                  : 7.391040
dist_vwap                           : 7.216717
kvo_signal                          : 7.188908
vwap_delta_12                       : 6.877493
dist_r1                             : 6.660727
gk_vol                              : 6.423444
funding_rate_zscore                 : 6.411520
vwap                                : 6.379161
dist_avwap_200                      : 6.171494
parkinson_vol                       : 6.038334
dist_s2                             : 6.027122
vwap_decay_std_24                   : 5.997666
fib_range_pct                       : 5.869588
weekly_macd                         : 5.862507
bb_width_percentile                 : 5.709876
weekly_rsi                          : 5.706678
dist_r2                             : 5.636242
pct_dist_to_resistance              : 5.535754
adx_14                              : 5.526014
supertrend_dist                     : 5.467988
avwap_200                           : 5.332194
btc_corr_24h                        : 5.150026
