Feature importance (gain) for APT/USDT
==================================================
prc_total                           : 25.197847
macro_confluence_score              : 22.134327
market_regime_code                  : 10.971812
regime_high_vol                     : 10.922974
atr_band_position                   : 10.391276
bb_pct_b                            : 9.101302
cmo_14                              : 8.145473
starc_position                      : 8.100283
volatility_regime                   : 6.528292
ichi_above_cloud                    : 5.529871
cci_20                              : 5.137692
prc_momentum                        : 4.953447
rvi_osc                             : 4.939426
atr_percentile                      : 4.611274
keltner_width                       : 4.254950
ema_slope_100                       : 3.848867
prc_trend                           : 3.823265
vwap_delta_1                        : 3.726086
macd_divergence                     : 3.661356
atr_pct                             : 3.633879
sar_trend                           : 3.595810
se_position                         : 3.467262
regime_low_vol                      : 3.443321
pct_dist_to_support                 : 3.428718
dist_rolling_vwap                   : 3.400484
total_confluence                    : 3.330353
ret_12h                             : 3.298871
sqz_off                             : 3.288587
kvo                                 : 3.258542
ichi_dist_cloud_top                 : 3.215423
