Feature importance (gain) for ARB/USDT
==================================================
macro_confluence_score              : 77.182335
prc_total                           : 76.248184
efficiency_ratio_10                 : 24.760099
aroon_up                            : 8.409282
cmf_20                              : 7.110411
entropy                             : 6.971245
ema_stack_distance                  : 6.865736
hour_cos                            : 6.774897
prc_momentum                        : 6.750156
starc_position                      : 6.717556
rel_perf_24h                        : 6.706147
adx_14                              : 6.628778
dist_ema_200                        : 6.575318
schaff_tc                           : 6.497431
aroon_osc                           : 6.438947
dist_pivot                          : 6.350382
hurst                               : 6.278350
volatility_regime                   : 6.260616
stoch_slope                         : 6.166348
sar_dist                            : 6.109323
atr_band_position                   : 6.105596
funding_cum_8                       : 6.090315
btc_dist_ema200                     : 6.067527
obv                                 : 5.995912
elder_bear                          : 5.978068
dow_sin                             : 5.966388
lower_low_count_20                  : 5.943506
dist_s2                             : 5.918751
price_zscore_200                    : 5.892954
higher_high_count_20                : 5.870818
