Feature importance (gain) for ARKM/USDT
==================================================
prc_total                           : 85.934792
macro_confluence_score              : 60.176762
efficiency_ratio_10                 : 16.234848
close_position                      : 7.933537
donchian_position                   : 7.584169
rsi_slope_14                        : 7.113818
btc_dist_ema200                     : 7.029219
range_position_score                : 7.018514
hurst                               : 6.863224
elder_bull_bear                     : 6.549188
pct_dist_to_support                 : 6.420663
entropy                             : 6.381037
sqz_momentum                        : 6.262749
dist_bear_ob                        : 6.257997
rel_perf_24h                        : 6.210853
ichi_dist_kijun                     : 6.152200
sqz_on                              : 6.119961
btc_corr_24h                        : 6.047493
macd                                : 6.006059
pvt                                 : 5.961745
vol_confirm_ratio                   : 5.954499
dist_s1                             : 5.938687
dist_s2                             : 5.909466
funding_cum_8                       : 5.892097
dist_ema_200                        : 5.883311
trend_consistency_20                : 5.839478
schaff_tc                           : 5.817616
quantile_position                   : 5.804581
prc_trend                           : 5.792987
price_zscore_200                    : 5.775345
