Feature importance (gain) for AR/USDT
==================================================
efficiency_ratio_10                 : 104.593773
linreg_r2_14                        : 34.732780
atr_band_position                   : 16.073637
starc_position                      : 15.131034
market_phase                        : 14.100903
obv                                 : 13.214855
s1                                  : 11.557262
volatility_regime                   : 11.112766
dist_vwap                           : 10.097832
r2                                  : 10.024634
atr_14                              : 9.910518
close_decay_std_24                  : 9.418399
keltner_width                       : 9.075280
vwap                                : 9.029929
adx_14                              : 8.996453
vwap_decay_std_24                   : 8.738172
avwap_200                           : 8.511695
rolling_resistance                  : 8.501480
fib_dist_236                        : 8.282146
volatility_kurt                     : 8.096062
supertrend                          : 8.085311
pvt                                 : 8.061635
avwap_100                           : 8.028567
funding_rate_ma8                    : 8.011628
ema_200                             : 7.911186
vwap_delta_12                       : 7.869456
fib_dist_500                        : 7.845710
dist_bull_ob                        : 7.839849
vwap_delta_1                        : 7.655266
supertrend_dist                     : 7.546744
