Feature importance (gain) for ASTER/USDT
==================================================
efficiency_ratio_10                 : 130.687408
linreg_r2_14                        : 30.090464
rsi_14                              : 26.674559
volatility_regime                   : 15.301602
choppiness                          : 15.132650
market_phase                        : 12.718418
vi_minus                            : 12.668920
is_squeeze                          : 12.520157
williams_r                          : 10.930661
ema_9_21_cross                      : 9.917356
dist_ema_9                          : 8.920677
trend_regime                        : 8.781943
linreg_slope_14                     : 8.456303
bb_width_percentile                 : 8.321991
adx_14                              : 7.881633
ret_12h                             : 7.676241
close                               : 6.773059
ichimoku_kijun                      : 6.754615
high                                : 6.699730
ichimoku_tenkan                     : 6.597879
dist_ema_21                         : 6.555906
ret_4h                              : 6.535433
low                                 : 6.517051
dist_vwap                           : 6.284349
ema_50                              : 6.204658
dist_ema_100                        : 6.157766
macd_signal                         : 6.135634
ichimoku_chikou                     : 6.061978
vi_plus                             : 6.053870
vwap_decay_std_24                   : 6.023407
