Feature importance (gain) for ATOM/USDT
==================================================
macro_confluence_score              : 86.316978
prc_total                           : 68.832565
efficiency_ratio_10                 : 25.039259
ema_alignment                       : 11.191751
market_phase                        : 10.124562
rsi_slope_14                        : 7.549017
rsi_7                               : 7.499305
williams_r                          : 7.349619
prc_momentum                        : 7.033301
prc_smart_money                     : 7.004721
btc_dist_ema200                     : 6.496336
dist_ema_200                        : 6.447187
quantile_position                   : 6.364980
keltner_width                       : 6.341255
ichi_dist_cloud_top                 : 6.306491
pvt                                 : 6.255845
cmf_20                              : 6.245344
ema_stack_distance                  : 6.183063
rsi_acceleration_14                 : 6.136930
obv                                 : 6.024564
starc_position                      : 6.019039
btc_corr_24h                        : 5.993690
parkinson_vol                       : 5.982085
funding_cum_8                       : 5.952589
stoch_k                             : 5.950697
btc_ratio_ma_dist                   : 5.912489
funding_rate_zscore                 : 5.907572
fib_dist_618                        : 5.902695
dist_bear_ob                        : 5.891580
ret_24h                             : 5.879288
