Feature importance (gain) for AVAX/USDT
==================================================
efficiency_ratio_10                 : 93.317520
linreg_r2_14                        : 33.061413
starc_position                      : 25.100630
macro_confluence_score              : 17.167517
prc_total                           : 16.985970
prc_momentum                        : 16.223768
gk_vol                              : 16.179903
acc_dist                            : 15.958216
atr_band_position                   : 14.441167
close_decay_mean_24                 : 13.923535
ema_200                             : 13.791563
avwap_200                           : 13.701522
volatility_regime                   : 13.548350
rolling_support                     : 12.253314
keltner_upper                       : 12.135566
ema_100                             : 12.109988
ichi_dist_cloud_top                 : 12.098676
r2                                  : 11.817872
rolling_resistance                  : 11.399595
keltner_width                       : 11.306224
dow_cos                             : 11.094840
fib_range_pct                       : 10.890794
fib_dist_236                        : 10.507113
dist_avwap_100                      : 10.482096
pvt                                 : 10.414092
btc_dist_ema200                     : 10.232858
returns_1h_decay_std_24             : 10.014838
s2                                  : 9.984651
vwap_decay_std_24                   : 9.642369
supertrend                          : 9.560157
