Feature importance (gain) for AXS/USDT
==================================================
macro_confluence_score              : 70.644569
prc_total                           : 43.967049
efficiency_ratio_10                 : 14.869790
fvg_distance                        : 9.382357
prc_momentum                        : 6.118316
funding_slope_3                     : 5.480157
atr_band_position                   : 5.218966
ichi_dist_cloud_top                 : 4.992054
dist_s1                             : 4.968082
pct_dist_to_resistance              : 4.849977
obv                                 : 4.675978
donchian_position                   : 4.372914
macd_signal                         : 4.341067
cmf_20                              : 4.194010
smart_money_confluence              : 4.171504
vi_minus                            : 4.156734
rsi_acceleration_14                 : 4.143066
dist_s2                             : 4.139024
rvi_osc                             : 4.106597
stoch_d                             : 4.088871
volatility_ratio                    : 4.063288
btc_ratio_ma_dist                   : 4.054927
dist_r2                             : 4.017056
lower_low_count_20                  : 4.010602
kst_signal                          : 3.997118
prc_bands                           : 3.947630
volatility_regime                   : 3.928284
ultimate_osc                        : 3.922321
ret_24h                             : 3.906759
quantile_position                   : 3.888958
