Feature importance (gain) for BAT/USDT
==================================================
macro_confluence_score              : 25.428135
prc_total                           : 22.499243
starc_position                      : 12.017228
regime_high_vol                     : 10.923196
atr_band_position                   : 8.952072
prc_trend                           : 5.754008
volatility_regime                   : 5.700737
rvi_osc                             : 5.550543
is_at_resistance                    : 5.479861
prc_momentum                        : 5.260825
prc_volume                          : 5.233055
ret_12h                             : 4.881344
sar_trend                           : 4.745903
bb_pct_b                            : 4.483064
ema_alignment                       : 4.400428
vi_plus                             : 4.316858
choppiness                          : 4.218189
returns_1h_decay_mean_24            : 4.124986
ema_stack_alignment                 : 4.099036
ema_slope_100                       : 4.041121
pct_dist_to_resistance              : 4.013928
funding_cum_8                       : 3.912883
obv_divergence                      : 3.899916
dist_rolling_vwap                   : 3.827386
dist_ema_100                        : 3.797969
dist_r1                             : 3.786116
williams_r                          : 3.768653
rsi_slope_14                        : 3.706474
ichi_dist_cloud_top                 : 3.694515
atr_percentile                      : 3.578219
