Feature importance (gain) for BCH/USDT
==================================================
macro_confluence_score              : 23.356438
prc_total                           : 21.975224
starc_position                      : 8.583802
atr_band_position                   : 7.979708
rvi_osc                             : 7.057950
regime_high_vol                     : 6.872165
ret_12h                             : 6.422032
total_confluence                    : 6.039433
volatility_regime                   : 5.481628
sar_trend                           : 5.303774
is_at_resistance                    : 4.646311
market_regime_code                  : 4.392823
ema_slope_9                         : 4.383138
momentum_confluence                 : 4.305260
kvo_signal                          : 4.277012
close_delta_12                      : 4.020632
ema_slope_50                        : 3.980982
linreg_slope_14                     : 3.972164
ema_alignment                       : 3.848534
bb_width_percentile                 : 3.810870
prc_bands                           : 3.684528
gaussian_position                   : 3.621774
prc_trend                           : 3.525093
rolling_buy_ratio                   : 3.506958
ema_slope_21                        : 3.441252
entropy                             : 3.401581
bb_pct_b                            : 3.365905
dist_ema_50                         : 3.342952
adx_14                              : 3.328273
dist_ema_9                          : 3.322878
