Feature importance (gain) for BEAMX/USDT
==================================================
efficiency_ratio_10                 : 27.601610
volatility_regime                   : 3.381200
market_phase                        : 3.049083
trend_regime                        : 3.025518
hurst                               : 2.312797
fib_range_pct                       : 2.043214
returns_1h_decay_std_24             : 2.033321
weekly_macd_signal                  : 1.930085
vwap                                : 1.911771
rolling_volatility                  : 1.895730
macd_signal                         : 1.793999
gk_vol                              : 1.786026
vwap_decay_std_24                   : 1.771072
close_decay_std_24                  : 1.729511
vwap_delta_12                       : 1.687440
dow_sin                             : 1.673326
dist_vwap                           : 1.653753
supertrend                          : 1.648656
parkinson_vol                       : 1.631073
weekly_macd_hist                    : 1.597877
adx_14                              : 1.586256
fib_dist_236                        : 1.584648
dist_s2                             : 1.579301
kst_signal                          : 1.570181
kvo_signal                          : 1.532692
kvo                                 : 1.491121
price_zscore_200                    : 1.490777
atr_band_position                   : 1.453894
btc_dist_ema200                     : 1.407580
cmf_20                              : 1.342100
