Feature importance (gain) for BNB/USDT
==================================================
efficiency_ratio_10                 : 111.679298
linreg_r2_14                        : 17.352907
prc_total                           : 14.637527
macro_confluence_score              : 14.266468
starc_position                      : 11.515317
atr_band_position                   : 11.350336
volatility_regime                   : 11.102329
market_phase                        : 10.698613
gk_vol                              : 10.014503
low                                 : 8.925084
parkinson_vol                       : 7.727382
acc_dist                            : 7.441315
fib_range_pct                       : 7.415183
hma_20                              : 6.972424
pvt                                 : 6.707108
vwap_decay_mean_24                  : 6.696093
returns_1h_decay_std_24             : 6.433941
smart_money_confluence              : 6.424864
vwap                                : 6.223999
obv                                 : 6.112235
keltner_width                       : 6.098803
trend_regime                        : 5.938122
ema_200                             : 5.724004
rolling_support                     : 5.538418
ema_50                              : 5.170250
btc_dist_ema200                     : 5.130405
dist_avwap_200                      : 5.067144
funding_rate_zscore                 : 5.063612
dist_vwap                           : 5.041373
force_index                         : 4.644580
