Feature importance (gain) for BOME/USDT
==================================================
prc_total                           : 44.422157
macro_confluence_score              : 42.808624
prc_momentum                        : 31.772301
prc_trend                           : 22.181860
bb_pct_b                            : 18.681015
atr_band_position                   : 17.273811
starc_position                      : 14.828733
regime_high_vol                     : 13.772964
momentum_confluence                 : 11.397815
elder_bull_bear                     : 10.540081
prc_bands                           : 10.386880
volatility_regime                   : 10.221225
cci_20                              : 9.504014
linreg_r2_14                        : 8.767115
elder_bull                          : 8.530078
dist_r2                             : 8.217276
pct_dist_to_resistance              : 8.186834
rvi_osc                             : 8.058245
ret_12h                             : 7.880002
ema_slope_9                         : 7.790592
vwap_delta_4                        : 7.728789
linreg_slope_14                     : 7.602688
dist_s2                             : 7.590993
rsi_7                               : 7.467526
dist_rolling_vwap                   : 7.349836
total_confluence                    : 7.324486
keltner_width                       : 7.162493
volume_delta_14                     : 7.121389
atr_percentile                      : 7.012928
dist_ema_21                         : 6.971087
