Feature importance (gain) for BONK/USDT
==================================================
starc_position                      : 39.971764
efficiency_ratio_10                 : 38.623451
macro_confluence_score              : 27.237341
prc_total                           : 26.843826
atr_band_position                   : 7.389581
bb_pct_b                            : 7.226063
volatility_regime                   : 5.710012
ema_alignment                       : 5.458526
prc_momentum                        : 5.090281
price_zscore_200                    : 5.015812
regime_high_vol                     : 4.785782
aroon_up                            : 4.707228
atr_percentile                      : 4.587039
ema_slope_50                        : 4.521565
btc_dist_ema200                     : 4.493506
momentum_confluence                 : 4.458396
ema_slope_100                       : 4.252041
adx_14                              : 4.207899
ppo                                 : 4.087145
dist_ema_100                        : 3.951639
trix_15                             : 3.706558
prc_trend                           : 3.699188
obv_slope_20                        : 3.680906
ret_4h                              : 3.650723
obv                                 : 3.519341
pct_dist_to_support                 : 3.503786
rsi_acceleration_14                 : 3.451969
ema_stack_distance                  : 3.430422
rvi_osc                             : 3.420942
ret_24h                             : 3.413990
