Feature importance (gain) for BTC/USDT
==================================================
efficiency_ratio_10                 : 128.563507
linreg_r2_14                        : 45.433647
volatility_regime                   : 33.327873
atr_14                              : 19.695036
dist_ema_21                         : 18.067930
bb_width_percentile                 : 18.014597
dist_ema_9                          : 13.919403
choppiness                          : 11.704867
obv                                 : 10.593495
ichimoku_chikou                     : 10.397992
ichimoku_senkou_b                   : 9.763426
ema_50                              : 9.303527
ichimoku_senkou_a                   : 9.291580
