Feature importance (gain) for CAKE/USDT
==================================================
efficiency_ratio_10                 : 47.294170
starc_position                      : 37.554634
bb_pct_b                            : 33.219872
macro_confluence_score              : 28.737642
prc_total                           : 26.133181
atr_band_position                   : 20.326542
cmo_14                              : 8.691392
prc_trend                           : 8.472620
prc_momentum                        : 7.752773
vi_minus                            : 7.660312
trend_confluence                    : 7.414758
rsi_14                              : 7.377248
regime_high_vol                     : 7.161511
rvi_osc                             : 6.715119
fib_dist_382                        : 6.638363
ema_slope_9                         : 6.194763
elder_bull                          : 6.147334
volatility_regime                   : 6.139729
prc_bands                           : 5.829702
gaussian_position                   : 5.723569
pct_dist_to_resistance              : 5.678037
close_decay_mean_24                 : 5.653835
fib_dist_236                        : 5.635695
dist_ema_50                         : 5.437490
supertrend_dir                      : 5.379010
btc_4h_return                       : 5.345935
pvt                                 : 5.308859
ichi_dist_cloud_top                 : 5.227767
sqz_momentum                        : 5.106995
btc_dist_ema200                     : 5.085806
