Feature importance (gain) for CHZ/USDT
==================================================
macro_confluence_score              : 23.347809
prc_total                           : 21.343721
regime_high_vol                     : 18.200516
market_regime_code                  : 10.515177
starc_position                      : 9.414676
atr_band_position                   : 9.171756
bb_pct_b                            : 6.811693
bands_confluence                    : 6.252708
volatility_regime                   : 5.582192
cmo_14                              : 5.458197
rvi_osc                             : 5.247438
atr_pct                             : 4.819455
prc_trend                           : 4.635702
atr_percentile                      : 4.626180
prc_bands                           : 4.594920
prc_momentum                        : 4.492562
ema_alignment                       : 4.455638
total_confluence                    : 4.442737
close_decay_mean_24                 : 4.109814
elder_bull_bear                     : 4.021623
cci_20                              : 4.009470
volume                              : 4.005584
price_zscore_200                    : 3.986290
momentum_confluence                 : 3.864004
dist_avwap_100                      : 3.851020
ppo_signal                          : 3.840707
macd_signal                         : 3.759672
higher_high_count_20                : 3.757476
aroon_osc                           : 3.749427
returns_1h_decay_mean_24            : 3.737300
