Feature importance (gain) for CKB/USDT
==================================================
efficiency_ratio_10                 : 59.960327
volatility_regime                   : 6.604546
atr_band_position                   : 5.917520
market_phase                        : 5.599583
trend_regime                        : 4.869142
linreg_r2_14                        : 4.019340
returns_1h_decay_std_24             : 3.975421
vwap_delta_12                       : 3.928269
vwap                                : 3.753677
vwap_decay_mean_24                  : 3.592346
starc_position                      : 3.503472
dist_vwap                           : 3.148975
fib_range_pct                       : 2.992123
ema_200                             : 2.834590
vwap_decay_std_24                   : 2.700133
gk_vol                              : 2.698666
ichimoku_senkou_b                   : 2.657109
keltner_width                       : 2.625288
supertrend                          : 2.616275
price_zscore_200                    : 2.614821
vwap_delta_4                        : 2.564245
donchian_width                      : 2.549556
kvo                                 : 2.496680
ichimoku_tenkan                     : 2.484279
btc_dist_ema200                     : 2.429291
force_index                         : 2.399344
ichimoku_senkou_a                   : 2.385355
dow_sin                             : 2.347044
rolling_volatility                  : 2.328251
parkinson_vol                       : 2.322511
