Feature importance (gain) for CRV/USDT
==================================================
macro_confluence_score              : 80.566391
prc_total                           : 60.702068
prc_momentum                        : 21.890984
efficiency_ratio_10                 : 19.741949
cci_20                              : 7.472458
hurst                               : 7.249964
dist_pivot                          : 6.924996
ret_24h                             : 6.831805
price_zscore_200                    : 6.772836
dist_avwap_50                       : 6.727268
dist_ema_21                         : 6.616235
aroon_osc                           : 6.497464
dist_s1                             : 6.264271
bb_pct_b                            : 6.184659
bb_width_percentile                 : 6.121610
btc_corr_24h                        : 6.109460
dist_kama                           : 6.103786
dist_r1                             : 6.008507
fib_range_pct                       : 5.989907
rel_perf_24h                        : 5.979514
dist_avwap_200                      : 5.974827
atr_expansion                       : 5.921512
dist_avwap_100                      : 5.919489
total_confluence                    : 5.889172
rolling_volatility                  : 5.792746
dow_sin                             : 5.791321
parkinson_vol                       : 5.778649
dist_ema_50                         : 5.754238
pct_dist_to_resistance              : 5.745810
supertrend_dist                     : 5.716465
