Feature importance (gain) for DENT/USDT
==================================================
efficiency_ratio_10                 : 62.402344
atr_band_position                   : 13.969502
starc_position                      : 10.741488
volatility_regime                   : 6.113756
dist_r2                             : 5.894596
weekly_macd                         : 5.519974
bb_width_percentile                 : 5.281242
vwap_decay_std_24                   : 4.994420
price_zscore_200                    : 4.987722
fib_range_pct                       : 4.930631
force_index                         : 4.869180
fib_dist_382                        : 4.765850
vwap_delta_12                       : 4.706538
close_decay_mean_24                 : 4.639000
dow_sin                             : 4.593459
rel_perf_24h                        : 4.432775
market_phase                        : 4.344598
parkinson_vol                       : 4.341534
ema_100                             : 4.288119
fib_dist_236                        : 4.244601
weekly_macd_hist                    : 4.218618
dist_bear_ob                        : 4.209342
avwap_50                            : 4.185419
dist_bull_ob                        : 4.110263
weekly_rsi                          : 4.068863
adx_14                              : 4.066655
supertrend_dist                     : 4.059917
atr_14                              : 4.047264
trend_regime                        : 3.944740
vwap                                : 3.925949
