Feature importance (gain) for DGB/USDT
==================================================
efficiency_ratio_10                 : 89.114517
linreg_r2_14                        : 20.474117
market_phase                        : 17.347662
volatility_regime                   : 15.486585
pvt                                 : 11.578393
fib_dist_236                        : 10.542856
keltner_width                       : 10.173644
s2                                  : 10.145636
dist_avwap_100                      : 9.649526
vwap_delta_12                       : 9.458865
fib_dist_382                        : 9.265402
weekly_macd_hist                    : 9.251258
pct_dist_to_resistance              : 9.082129
vwap_decay_std_24                   : 9.010869
weekly_macd_signal                  : 8.992178
btc_dist_ema200                     : 8.720570
fib_range_pct                       : 8.715458
dist_weekly_ema200                  : 8.657230
dow_cos                             : 8.522426
dist_vwap                           : 8.387766
returns_1h_decay_std_24             : 8.232972
vwap                                : 8.144263
returns_1h_decay_mean_24            : 7.912697
price_zscore_200                    : 7.893106
kvo_signal                          : 7.855600
close_decay_std_24                  : 7.785240
dist_ema_200                        : 7.768492
atr_14                              : 7.702874
rolling_support                     : 7.549721
bb_width_percentile                 : 7.371820
