Feature importance (gain) for DODO/USDT
==================================================
efficiency_ratio_10                 : 81.067665
linreg_r2_14                        : 22.041658
volatility_regime                   : 15.207675
weekly_macd                         : 14.829445
vwap_decay_std_24                   : 12.787153
avwap_200                           : 11.339008
weekly_macd_signal                  : 10.747272
atr_band_position                   : 10.543156
dist_weekly_ema200                  : 10.274352
avwap_100                           : 10.235403
close_decay_std_24                  : 10.090643
weekly_macd_hist                    : 9.837434
vwap_delta_12                       : 9.674934
dow_sin                             : 9.461118
fib_dist_382                        : 9.417364
hurst                               : 9.304709
fib_range_pct                       : 9.246269
weekly_rsi                          : 9.165935
dist_ema_200                        : 9.163002
gk_vol                              : 9.158717
fib_dist_618                        : 9.133206
awesome_osc                         : 9.072724
volume_decay_mean_24                : 9.006477
price_zscore_200                    : 8.948217
dist_bear_ob                        : 8.918045
cmf_20                              : 8.887399
market_phase                        : 8.781104
btc_dist_ema200                     : 8.721690
parkinson_vol                       : 8.720320
rolling_volatility                  : 8.624046
