Feature importance (gain) for DOGE/USDT
==================================================
macro_confluence_score              : 111.988480
prc_total                           : 102.057129
prc_momentum                        : 29.978653
efficiency_ratio_10                 : 29.302887
prc_trend                           : 19.592749
atr_band_position                   : 15.851880
cci_20                              : 11.408716
atr_percentile                      : 11.332118
funding_cum_8                       : 11.108410
elder_bull                          : 10.695563
vol_confirm_ratio                   : 10.329226
higher_high_count_20                : 10.310863
sqz_momentum                        : 10.238693
rsi_21                              : 10.148248
dist_r2                             : 9.911001
rolling_buy_ratio                   : 9.881063
cmf_20                              : 9.811264
hurst                               : 9.742029
dist_s2                             : 9.713712
trend_consistency_20                : 9.641603
funding_rate_zscore                 : 9.638353
elder_bull_bear                     : 9.629940
dist_ema_50                         : 9.523000
supertrend_dist                     : 9.281653
ppo_signal                          : 9.229700
tsi                                 : 9.138823
rvi_sig                             : 9.079217
ret_24h                             : 9.077476
fisher_sig                          : 8.918702
rolling_volatility                  : 8.908657
