Feature importance (gain) for DOGS/USDT
==================================================
efficiency_ratio_10                 : 75.289078
market_phase                        : 14.298874
volatility_regime                   : 12.361190
atr_band_position                   : 11.980927
rolling_support                     : 11.161946
weekly_macd                         : 8.311784
macd_signal                         : 8.165122
fib_range_pct                       : 8.114550
rolling_resistance                  : 7.932486
ichimoku_senkou_a                   : 7.693842
parkinson_vol                       : 7.532999
r1                                  : 7.531255
vwap_decay_std_24                   : 7.525836
weekly_rsi                          : 7.439147
s2                                  : 7.434443
keltner_lower                       : 7.432777
dist_avwap_100                      : 7.419282
fib_dist_236                        : 7.296047
atr_14                              : 7.128324
fib_dist_500                        : 7.058590
gk_vol                              : 6.848708
fib_dist_382                        : 6.723730
rolling_volatility                  : 6.698065
dist_bull_ob                        : 6.602568
weekly_macd_hist                    : 6.544561
avwap_200                           : 6.508031
kst_signal                          : 6.433249
keltner_width                       : 6.224410
dist_avwap_200                      : 6.171433
dist_s1                             : 6.124751
