Feature importance (gain) for DYDX/USDT
==================================================
efficiency_ratio_10                 : 30.647636
macro_confluence_score              : 20.899107
prc_total                           : 17.116243
starc_position                      : 8.735216
prc_momentum                        : 5.326556
atr_band_position                   : 5.319891
regime_high_vol                     : 5.045796
rvi_osc                             : 4.086485
prc_trend                           : 3.998204
volatility_regime                   : 3.336469
structure_bias                      : 2.998394
dist_bull_ob                        : 2.786432
total_confluence                    : 2.689775
parkinson_vol                       : 2.103707
volatility_ratio                    : 2.021553
vwap_delta_4                        : 1.902281
williams_r                          : 1.890857
ema_stack_alignment                 : 1.889829
atr_percentile                      : 1.840975
btc_dist_ema200                     : 1.799906
cmf_20                              : 1.797753
quantile_position                   : 1.776188
dist_ema_21                         : 1.769315
awesome_osc                         : 1.728611
ichi_above_cloud                    : 1.698758
ema_alignment                       : 1.658221
dist_r1                             : 1.632317
volume_delta_14                     : 1.598402
kvo                                 : 1.589760
supertrend_dist                     : 1.583722
