Feature importance (gain) for EGLD/USDT
==================================================
prc_total                           : 121.161316
macro_confluence_score              : 116.122719
prc_momentum                        : 69.548904
efficiency_ratio_10                 : 52.041817
prc_trend                           : 42.239902
starc_position                      : 16.027843
ultimate_osc                        : 13.465579
price_zscore_200                    : 13.307784
aroon_up                            : 13.187011
trend_consistency_20                : 12.865911
dist_avwap_200                      : 12.814628
dist_bull_ob                        : 12.363070
bb_width_percentile                 : 11.888310
ichi_dist_kijun                     : 11.672976
parkinson_vol                       : 11.379070
atr_band_position                   : 11.341464
close_position                      : 11.203795
macd_signal                         : 11.086961
ppo_signal                          : 11.045732
funding_slope_8                     : 11.035798
donchian_position                   : 11.014589
pvt                                 : 10.851232
entropy                             : 10.848017
lower_low_count_20                  : 10.730993
fib_dist_236                        : 10.706820
dist_kama                           : 10.679111
dist_s2                             : 10.676494
fib_range_pct                       : 10.672342
trix_15                             : 10.666492
fib_dist_382                        : 10.575634
