Feature importance (gain) for ENA/USDT
==================================================
macro_confluence_score              : 123.389587
prc_total                           : 92.118393
prc_momentum                        : 58.344929
prc_trend                           : 42.345398
efficiency_ratio_10                 : 41.676975
prc_bands                           : 21.339304
dist_vwap                           : 18.251286
dist_r1                             : 17.613632
schaff_tc                           : 16.041353
funding_rate_zscore                 : 15.999641
atr_expansion                       : 15.421208
obv                                 : 14.814485
btc_ratio_ma_dist                   : 14.417027
fib_range_pct                       : 14.245008
rsi_acceleration_14                 : 14.131351
rsi_7                               : 14.037976
dist_r2                             : 13.912974
dist_avwap_50                       : 13.811932
supertrend_dist                     : 13.613106
cmf_20                              : 13.156519
quantile_position                   : 13.074146
dist_avwap_100                      : 12.912289
entropy                             : 12.743361
macd_hist                           : 12.712634
dist_bull_ob                        : 12.535333
lower_low_count_20                  : 12.256316
dist_pivot                          : 11.956845
bb_width_percentile                 : 11.897245
trend_consistency_20                : 11.876212
atr_pct                             : 11.699142
