Feature importance (gain) for ENJ/USDT
==================================================
macro_confluence_score              : 23.592180
prc_total                           : 23.207245
regime_high_vol                     : 22.359251
starc_position                      : 9.069664
volatility_regime                   : 7.224224
market_regime_code                  : 7.171369
atr_band_position                   : 6.207279
prc_trend                           : 5.214541
prc_momentum                        : 5.159337
cmo_14                              : 4.986293
ema_slope_50                        : 4.956774
rsi_14                              : 4.942005
rvi_osc                             : 4.933931
cci_20                              : 4.736907
dist_ema_9                          : 4.729509
ema_slope_21                        : 4.711889
parkinson_vol                       : 4.648197
ema_slope_9                         : 4.628901
dist_ema_50                         : 4.541394
bb_pct_b                            : 4.471486
prc_volume                          : 4.392293
total_confluence                    : 4.361298
elder_bear                          : 4.343468
dist_s1                             : 4.339399
atr_expansion                       : 4.310726
btc_ratio_ma_dist                   : 4.288888
elder_bull_bear                     : 4.239614
atr_percentile                      : 4.216792
dist_ema_21                         : 4.212057
choppiness                          : 4.016540
