Feature importance (gain) for ETC/USDT
==================================================
prc_total                           : 135.759964
macro_confluence_score              : 64.469330
efficiency_ratio_10                 : 17.438953
higher_high_count_20                : 6.622731
volume_delta_14                     : 6.483156
btc_dist_ema200                     : 6.473255
funding_cum_8                       : 6.386264
pct_dist_to_support                 : 6.313784
dist_avwap_200                      : 6.278391
elder_bull_bear                     : 6.149721
parkinson_vol                       : 6.091782
prc_trend                           : 6.032550
atr_band_position                   : 5.953385
aroon_up                            : 5.848505
dist_bear_ob                        : 5.836689
stoch_slope                         : 5.731304
funding_rate_zscore                 : 5.709236
rel_perf_24h                        : 5.633840
mfi_14                              : 5.618649
rvi_vol                             : 5.503843
volume_zscore                       : 5.419192
supertrend_dist                     : 5.413231
prc_momentum                        : 5.406311
btc_ratio_ma_dist                   : 5.402297
price_zscore_200                    : 5.393066
btc_corr_24h                        : 5.388148
cmf_20                              : 5.373257
hour_sin                            : 5.351745
rolling_volatility                  : 5.326816
close_delta_4                       : 5.289035
