Feature importance (gain) for ETH/USDT
==================================================
efficiency_ratio_10                 : 127.003662
linreg_r2_14                        : 56.926727
volatility_regime                   : 27.965782
dist_ema_9                          : 14.334156
bb_width_percentile                 : 13.592847
keltner_width                       : 13.568703
choppiness                          : 12.508492
williams_r                          : 8.084619
close_decay_mean_24                 : 7.700817
acc_dist                            : 7.487877
ichimoku_chikou                     : 7.354290
low                                 : 7.223155
atr_14                              : 6.813082
adx_14                              : 6.447164
stoch_d                             : 6.252321
