Feature importance (gain) for FET/USDT
==================================================
macro_confluence_score              : 100.682037
prc_total                           : 98.552467
prc_momentum                        : 35.610973
efficiency_ratio_10                 : 32.603577
prc_trend                           : 30.207058
rsi_14                              : 20.753021
prc_volume                          : 13.639296
candle_pressure                     : 11.614775
entropy                             : 11.251408
dist_bear_ob                        : 10.296038
parkinson_vol                       : 10.271738
funding_cum_8                       : 9.984379
fib_dist_382                        : 9.919424
atr_pct                             : 9.906701
rolling_volatility                  : 9.849499
rel_perf_24h                        : 9.770703
ema_stack_distance                  : 9.657977
fib_dist_236                        : 9.572888
cci_20                              : 9.254653
atr_band_position                   : 9.099641
btc_corr_24h                        : 8.915545
price_zscore_200                    : 8.892213
supertrend_dist                     : 8.859423
dist_vwap                           : 8.720421
dist_pivot                          : 8.680430
sar_dist                            : 8.643037
fib_range_pct                       : 8.633714
kst_signal                          : 8.627346
ichi_dist_cloud_top                 : 8.521109
dist_s1                             : 8.504737
