Feature importance (gain) for FIL/USDT
==================================================
efficiency_ratio_10                 : 83.345192
volatility_regime                   : 11.952212
linreg_r2_14                        : 7.562303
market_phase                        : 6.267099
trend_regime                        : 4.895635
dist_ema_9                          : 4.518826
ichimoku_kijun                      : 4.431118
adx_14                              : 4.359396
williams_r                          : 4.286154
open                                : 3.678301
close                               : 3.624975
low                                 : 3.502474
vwap                                : 3.487005
rsi_14                              : 3.430649
keltner_lower                       : 3.419803
linreg_slope_14                     : 3.383478
macd_hist                           : 3.101599
ichimoku_chikou                     : 3.096248
close_delta_12                      : 3.045229
ema_100                             : 3.031365
dist_ema_21                         : 3.029344
btc_dist_ema200                     : 2.975901
vwap_decay_mean_24                  : 2.931483
ichimoku_senkou_a                   : 2.906309
ema_50_200_cross                    : 2.904980
acc_dist                            : 2.898564
choppiness                          : 2.852271
keltner_upper                       : 2.690394
ema_9                               : 2.562247
high                                : 2.449687
